link,物件名,date,販売価格,所在地,沿線・駅,専有面積,間取り,バルコニー,築年月
/ms/chuko/tokyo/sc_arakawa/nc_78912332/,トーア東尾久マンション,2026-01-05,3199万円,東京都荒川区東尾久５,都電荒川線「熊野前」徒歩1分,52.63m2（壁芯）,2LDK,10.32m2,1980年3月
/ms/chuko/tokyo/sc_arakawa/nc_79069986/,キャニオンマンション西日暮里,2026-01-05,3380万円,東京都荒川区西日暮里１,ＪＲ常磐線「三河島」徒歩4分,32.86m2（9.94坪）（壁芯）,1DK,6.16m2,1990年2月
/ms/chuko/tokyo/sc_arakawa/nc_79111192/,レインボーメセナ,2026-01-05,3590万円,東京都荒川区荒川１-46-10,都電荒川線「荒川一中前」徒歩3分,47.17m2（14.26坪）,2LDK,3.78m2,1990年7月
/ms/chuko/tokyo/sc_arakawa/nc_77230358/,東急ドエル・アルス千住,2026-01-05,3850万円,東京都荒川区南千住７,東京メトロ日比谷線「南千住」徒歩8分,57.27m2（壁芯）,3DK,11.91m2,1987年7月
/ms/chuko/tokyo/sc_arakawa/nc_78918169/,荒川遊園ビューハイツ,2026-01-05,3980万円,東京都荒川区西尾久８,都電荒川線「荒川遊園地前」徒歩6分,60.2m2（18.21坪）（壁芯）,3LDK,6.16m2,1986年3月
/ms/chuko/tokyo/sc_arakawa/nc_78911456/,荒川遊園ビューハイツ,2026-01-05,3980万円,東京都荒川区西尾久８,都電荒川線「荒川遊園地前」徒歩6分,60.2m2（18.21坪）（壁芯）,3LDK,6.16m2,1986年3月
/ms/chuko/tokyo/sc_arakawa/nc_78943469/,プレミアム三ノ輪,2026-01-05,4190万円,東京都荒川区南千住２,ＪＲ常磐線「南千住」徒歩8分,30.2m2（壁芯）,1LDK,3.88m2,2009年4月
/ms/chuko/tokyo/sc_arakawa/nc_79098718/,セレナハイム荒川公園,2026-01-05,4590万円,東京都荒川区荒川１-32-14,京成本線「新三河島」徒歩11分,55.22m2（16.70坪）（壁芯）,1LDK+S（納戸）,3.39m2,1999年3月
/ms/chuko/tokyo/sc_arakawa/nc_79091025/,セレナハイム荒川公園,2026-01-05,4590万円,東京都荒川区荒川１,都電荒川線「荒川区役所前」徒歩2分,55.22m2,1LDK+2S（納戸）,3.39m2,1999年3月
/ms/chuko/tokyo/sc_arakawa/nc_79112018/,リーフハイツ日暮里,2026-01-05,4880万円,東京都荒川区東日暮里５-2-7,ＪＲ京浜東北線「日暮里」徒歩7分,50.97m2（15.41坪）,3DK,14.15m2,1983年3月
/ms/chuko/tokyo/sc_arakawa/nc_79111793/,ソーケン日暮里マンション,2026-01-05,5099万円,東京都荒川区東日暮里５-39-12,ＪＲ山手線「日暮里」徒歩5分,60.46m2（18.28坪）（壁芯）,2LDK,4.85m2,1981年1月
/ms/chuko/tokyo/sc_arakawa/nc_78606542/,ソーケン日暮里マンション,2026-01-05,5099万円,東京都荒川区東日暮里５-39-12,ＪＲ山手線「日暮里」徒歩5分,60.46m2（18.28坪）（壁芯）,2LDK,4.85m2,1981年1月
/ms/chuko/tokyo/sc_arakawa/nc_78647116/,【今すぐ見たい　お任せください】　ソーケン日暮里マン…,2026-01-05,5099万円,東京都荒川区東日暮里５,ＪＲ山手線「日暮里」徒歩5分,60.46m2（壁芯）,2LDK,4.85m2,1981年1月
/ms/chuko/tokyo/sc_arakawa/nc_78887815/,ソーケン日暮里マンション,2026-01-05,5099万円,東京都荒川区東日暮里５,ＪＲ山手線「日暮里」徒歩5分,60.46m2（壁芯）,2LDK,4.85m2,1981年1月
/ms/chuko/tokyo/sc_arakawa/nc_78821720/,南千住スカイハイツ,2026-01-05,5299万円,東京都荒川区南千住７,東京メトロ日比谷線「南千住」徒歩5分,61.6m2（壁芯）,3LDK,7.84m2,1978年10月
/ms/chuko/tokyo/sc_arakawa/nc_78556977/,南千住スカイハイツ,2026-01-05,5299万円,東京都荒川区南千住７,東京メトロ日比谷線「南千住」徒歩5分,61.6m2（壁芯）,3LDK,7.84m2,1978年10月
/ms/chuko/tokyo/sc_arakawa/nc_78557189/,南千住スカイハイツ,2026-01-05,5299万円,東京都荒川区南千住７,東京メトロ日比谷線「南千住」徒歩5分,61.6m2（壁芯）,3LDK,7.84m2,1978年10月
/ms/chuko/tokyo/sc_arakawa/nc_78698134/,南千住スカイハイツ,2026-01-05,5299万円,東京都荒川区南千住７,東京メトロ日比谷線「南千住」徒歩5分,61.6m2（18.63坪）（壁芯）,3LDK,7.84m2,1978年10月
/ms/chuko/tokyo/sc_arakawa/nc_77452552/,日暮里第２ダイヤモンドマンション,2026-01-05,5480万円,東京都荒川区東日暮里６,ＪＲ山手線「日暮里」徒歩3分,55.31m2（壁芯）,2LDK,7.56m2,1997年10月
/ms/chuko/tokyo/sc_arakawa/nc_77957221/,コスモガーデン日暮里,2026-01-05,5599万円,東京都荒川区東日暮里４-20-1,ＪＲ山手線「鶯谷」徒歩8分,65.05m2（19.67坪）（壁芯）,3LDK,7.38m2,1996年5月
/ms/chuko/tokyo/sc_arakawa/nc_78391308/,コスモガーデン日暮里,2026-01-05,5599万円,東京都荒川区東日暮里４-20-1,ＪＲ山手線「鶯谷」徒歩8分,65.05m2（19.67坪）（壁芯）,3LDK,7.38m2,1996年5月
/ms/chuko/tokyo/sc_arakawa/nc_78854968/,ライオンズシティ西日暮里,2026-01-05,5698万円,東京都荒川区荒川３,ＪＲ常磐線「三河島」徒歩4分,56.24m2（壁芯）,2LDK,8.73m2,1997年3月
/ms/chuko/tokyo/sc_arakawa/nc_79074964/,イーストヒル町屋,2026-01-05,5800万円,東京都荒川区荒川７-20-1,東京メトロ千代田線「町屋」徒歩2分,73.2m2（22.14坪）,3LDK,8.5m2,1988年10月
