link,物件名,date,販売価格,所在地,沿線・駅,専有面積,間取り,バルコニー,築年月
/ms/chuko/tokyo/sc_adachi/nc_79070570/,ペルレ五反野,2026-01-05,980万円,東京都足立区西綾瀬１-3-5,東武伊勢崎線「小菅」徒歩5分,21.59m2（6.53坪）（壁芯）,1K,-,1990年9月
/ms/chuko/tokyo/sc_adachi/nc_78385243/,グリーンパーク第6五反野,2026-01-05,1700万円,東京都足立区青井１-16-9,つくばエクスプレス「青井」徒歩10分,40.1m2（12.13坪）（壁芯）,2DK,2.87m2,1985年3月
/ms/chuko/tokyo/sc_adachi/nc_74589539/,中川ビューハイツ,2026-01-05,1990万円,東京都足立区大谷田１-36-1,ＪＲ常磐線「亀有」バス19分停歩6分,69m2（20.87坪）（壁芯）,3LDK,6.96m2,1982年6月
/ms/chuko/tokyo/sc_adachi/nc_78385244/,グリーンハイム親水公園,2026-01-05,2298万円,東京都足立区舎人５-12-9,日暮里・舎人ライナー「見沼代親水公園」徒歩6分,52.07m2（15.75坪）（壁芯）,2LDK,17.2m2,1985年12月
/ms/chuko/tokyo/sc_adachi/nc_79054549/,グリーンパーク花畑Ⅰ,2026-01-05,2380万円,東京都足立区花畑３,東武伊勢崎線「谷塚」徒歩24分,61.56m2（壁芯）,3LDK,17.03m2,1987年3月
/ms/chuko/tokyo/sc_adachi/nc_78580438/,綾瀬ファイナンス,2026-01-05,2499万円,東京都足立区加平１,東京メトロ千代田線「北綾瀬」徒歩8分,63.24m2（壁芯）,2LDK,9.47m2,1977年2月
/ms/chuko/tokyo/sc_adachi/nc_78568323/,綾瀬ファイナンス,2026-01-05,2499万円,東京都足立区加平１,東京メトロ千代田線「北綾瀬」徒歩8分,63.24m2（壁芯）,2LDK,9.47m2,1977年2月
/ms/chuko/tokyo/sc_adachi/nc_75252449/,グリーンパーク北綾瀬Ⅲ,2026-01-05,2580万円,東京都足立区谷中５,東京メトロ千代田線「北綾瀬」徒歩13分,62.35m2（18.86坪）（壁芯）,3LDK,9.1m2,1987年11月
/ms/chuko/tokyo/sc_adachi/nc_79079986/,ボナハイツ中川,2026-01-05,2580万円,東京都足立区大谷田２,ＪＲ常磐線「亀有」バス5分停歩7分,68.04m2（20.58坪）（壁芯）,3LDK,8.52m2,1977年9月
/ms/chuko/tokyo/sc_adachi/nc_78562693/,セザール竹ノ塚,2026-01-05,2580万円,東京都足立区六月１-36-20,東武伊勢崎線「竹ノ塚」徒歩14分,59.53m2（18.00坪）（壁芯）,1LDK,14.04m2,1989年9月
