link,物件名,date,販売価格,所在地,沿線・駅,専有面積,間取り,バルコニー,築年月
/ms/chuko/tokyo/sc_bunkyo/nc_78151350/,ＧＳハイム小石川,2026-01-05,2000万円,東京都文京区小石川５,東京メトロ丸ノ内線「茗荷谷」徒歩9分,26.29m2（7.95坪）（壁芯）,1DK,4.25m2,1977年6月
/ms/chuko/tokyo/sc_bunkyo/nc_78504764/,中銀第２小石川マンシオン,2026-01-05,2980万円,東京都文京区小石川２,東京メトロ丸ノ内線「後楽園」徒歩6分,31.14m2（9.41坪）（壁芯）,ワンルーム,2.7m2,1982年12月
/ms/chuko/tokyo/sc_bunkyo/nc_79109753/,ハイツ音羽,2026-01-05,2999万円,東京都文京区音羽１-14-8,東京メトロ有楽町線「護国寺」徒歩3分,37.44m2（11.32坪）,1LDK,-,1978年10月
/ms/chuko/tokyo/sc_bunkyo/nc_78832875/,ライオンズマンション文京根津,2026-01-05,3080万円,東京都文京区根津２-12-5,東京メトロ千代田線「根津」徒歩1分,21.33m2（6.45坪）（壁芯）,ワンルーム,3.36m2,1986年4月
/ms/chuko/tokyo/sc_bunkyo/nc_79111150/,本郷マンション,2026-01-05,3280万円,東京都文京区西片１-14-10,都営大江戸線「春日」徒歩3分,56.62m2（17.12坪）,1LDK+S（納戸）,14.4m2,1963年12月
/ms/chuko/tokyo/sc_bunkyo/nc_79032537/,パシフィック文京マンション,2026-01-05,3980万円,東京都文京区大塚６,東京メトロ丸ノ内線「新大塚」徒歩5分,51.62m2（壁芯）,2LDK,8.1m2,1970年3月
/ms/chuko/tokyo/sc_bunkyo/nc_78794359/,春日ビューハイツ,2026-01-05,4299万円,東京都文京区春日２,都営大江戸線「飯田橋」徒歩8分,44.16m2（壁芯）,1LDK,4.2m2,1978年8月
/ms/chuko/tokyo/sc_bunkyo/nc_78712107/,春日ビューハイツ,2026-01-05,4299万円,東京都文京区春日２-１－６,東京メトロ東西線「飯田橋」徒歩8分,44.16m2（壁芯）,1LDK,4.2m2,1978年8月
/ms/chuko/tokyo/sc_bunkyo/nc_78726281/,ドミール千駄木,2026-01-05,4300万円,東京都文京区千駄木３-1-17,東京メトロ千代田線「千駄木」徒歩2分,45.9m2（13.88坪）（壁芯）,1LDK,6.37m2,1970年8月
/ms/chuko/tokyo/sc_bunkyo/nc_79004245/,ハイメゾン千石,2026-01-05,4990万円,東京都文京区千石２,都営三田線「千石」徒歩7分,47.96m2（壁芯）,2LDK,10m2,1978年12月
/ms/chuko/tokyo/sc_bunkyo/nc_78939515/,ハイメゾン千石,2026-01-05,4990万円,東京都文京区千石２,都営三田線「千石」徒歩9分,47.96m2,2LDK,10m2,1978年12月
/ms/chuko/tokyo/sc_bunkyo/nc_79035239/,【今すぐ見たい　お任せください】　ハイメゾン千石,2026-01-05,4990万円,東京都文京区千石２,都営三田線「千石」徒歩7分,47.96m2（壁芯）,2LDK,-,1978年12月
/ms/chuko/tokyo/sc_bunkyo/nc_78940483/,ハイメゾン千石,2026-01-05,4990万円,東京都文京区千石２,都営三田線「千石」徒歩7分,47.96m2（壁芯）,2LDK,10m2,1978年12月
/ms/chuko/tokyo/sc_bunkyo/nc_79111938/,湯島ビル,2026-01-05,4999万円,東京都文京区湯島１-9-10,ＪＲ中央線「御茶ノ水」徒歩5分,48.11m2（14.55坪）,2LDK,-,1971年12月
/ms/chuko/tokyo/sc_bunkyo/nc_78838420/,湯島ビル,2026-01-05,4999万円,東京都文京区湯島１,ＪＲ中央線「御茶ノ水」徒歩5分,48.11m2（壁芯）,2LDK,3.48m2,1971年12月
