link,物件名,date,販売価格,所在地,沿線・駅,専有面積,間取り,バルコニー,築年月
/ms/chuko/tokyo/sc_chiyoda/nc_79132805/,エクレール平河町,2026-01-05,3699万円,東京都千代田区平河町１-5-7,東京メトロ有楽町線「麹町」徒歩4分,30.68m2（壁芯）,1K,-,1978年12月
/ms/chuko/tokyo/sc_chiyoda/nc_78718664/,【今すぐ見たい　お任せください】 朝日九段マンション,2026-01-05,5980万円,東京都千代田区九段北１,東京メトロ東西線「九段下」徒歩2分,38.61m2（壁芯）,1LDK,-,1978年8月
/ms/chuko/tokyo/sc_chiyoda/nc_78299323/,サンパークマンション千代田,2026-01-05,6680万円,東京都千代田区飯田橋２,東京メトロ東西線「飯田橋」徒歩2分,43.65m2（壁芯）,1LDK,4.36m2,1982年6月
/ms/chuko/tokyo/sc_chiyoda/nc_78958225/,ダイアパレス水道橋,2026-01-05,6680万円,東京都千代田区神田三崎町３,ＪＲ総武線「水道橋」徒歩3分,36.67m2（壁芯）,ワンルーム,4.04m2,1998年9月
/ms/chuko/tokyo/sc_chiyoda/nc_78119138/,デュオ・スカーラ麹町,2026-01-05,7380万円,東京都千代田区麹町２,東京メトロ有楽町線「麹町」徒歩3分,36.62m2（壁芯）,1DK,5.65m2,2003年6月
/ms/chuko/tokyo/sc_chiyoda/nc_78833444/,ドミール五番町１号棟,2026-01-05,7480万円,東京都千代田区五番町,東京メトロ有楽町線「市ケ谷」徒歩4分,49.5m2（14.97坪）（壁芯）,1LDK,3.85m2,1971年10月
/ms/chuko/tokyo/sc_chiyoda/nc_79112218/,ベラカーサ秋葉原,2026-01-05,8280万円,東京都千代田区神田佐久間町４-1,東京メトロ日比谷線「秋葉原」徒歩5分,46.53m2（14.07坪）,1LDK,5.6m2,2006年7月
/ms/chuko/tokyo/sc_chiyoda/nc_77689110/,パークタワー秋葉原,2026-01-05,8480万円,東京都千代田区神田練塀町５５,ＪＲ山手線「秋葉原」徒歩4分,40.76m2（壁芯）,1LDK+S（納戸）,9.62m2,2006年8月
/ms/chuko/tokyo/sc_chiyoda/nc_78527906/,ピアース千代田淡路町,2026-01-05,1億990万円,東京都千代田区神田美土代町,東京メトロ千代田線「新御茶ノ水」徒歩1分,40.44m2（壁芯）,1LDK+S（納戸）,6.6m2,2017年2月
/ms/chuko/tokyo/sc_chiyoda/nc_78785756/,アルファグランデ千桜タワー,2026-01-05,1億1680万円,東京都千代田区神田東松下町,都営新宿線「岩本町」徒歩2分,56.16m2（壁芯）,2LDK,9.4m2,2018年4月
/ms/chuko/tokyo/sc_chiyoda/nc_78265608/,パークリュクス神田多町,2026-01-05,1億1900万円,東京都千代田区神田多町２,東京メトロ丸ノ内線「淡路町」徒歩3分,46.01m2（壁芯）,1LDK,6.46m2,2024年3月
/ms/chuko/tokyo/sc_chiyoda/nc_78827162/,ＴＨＥ　千代田麹町　ＴＯＷＥＲ,2026-01-05,1億4480万円,東京都千代田区麹町３-２－１３,東京メトロ有楽町線「麹町」徒歩1分,41.08m2（壁芯）,1LDK,5.5m2,2019年1月
/ms/chuko/tokyo/sc_chiyoda/nc_78210089/,ビュロー平河町,2026-01-05,1億4800万円,東京都千代田区平河町１,東京メトロ半蔵門線「半蔵門」徒歩3分,66.95m2,2LDK,5.11m2,1999年10月
/ms/chuko/tokyo/sc_chiyoda/nc_78975920/,リビオレゾン内神田,2026-01-05,1億4800万円,東京都千代田区内神田１,東京メトロ千代田線「新御茶ノ水」徒歩4分,54.6m2（壁芯）,2LDK,5.17m2,2019年3月
/ms/chuko/tokyo/sc_chiyoda/nc_78861709/,アトラス千代田末広町,2026-01-05,1億4980万円,東京都千代田区外神田６,東京メトロ銀座線「末広町」徒歩1分,56.47m2（壁芯）,2LDK,4.58m2,2014年11月
/ms/chuko/tokyo/sc_chiyoda/nc_78616027/,プラウド神田駿河台,2026-01-05,1億5380万円,東京都千代田区神田駿河台１,ＪＲ総武線「御茶ノ水」徒歩5分,52.62m2（壁芯）,2LDK,6.26m2,2021年1月
/ms/chuko/tokyo/sc_chiyoda/nc_77774257/,パレステュディオ九段　北の丸,2026-01-05,1億5980万円,東京都千代田区九段南２,東京メトロ有楽町線「市ケ谷」徒歩8分,67.38m2（壁芯）,2LDK,-,2003年10月
/ms/chuko/tokyo/sc_chiyoda/nc_78908729/,ビラハイツ北の丸,2026-01-05,1億6500万円,東京都千代田区九段南２,ＪＲ総武線「市ケ谷」徒歩12分,62.21m2（壁芯）,2LDK,5.78m2,2000年5月
/ms/chuko/tokyo/sc_chiyoda/nc_78810451/,クリオ神田,2026-01-05,1億6780万円,東京都千代田区鍛冶町２,ＪＲ山手線「神田」徒歩2分,54.42m2（壁芯）,2LDK,7.11m2,2020年11月
/ms/chuko/tokyo/sc_chiyoda/nc_78915393/,マートルコート麹町,2026-01-05,1億6980万円,東京都千代田区九段南３-９番１１号,都営新宿線「市ケ谷」徒歩4分,80.41m2（壁芯）,2LDK+S（納戸）,4.51m2,1983年2月
/ms/chuko/tokyo/sc_chiyoda/nc_78115229/,御茶ノ水ロイアルハイツ【フルリノベーション完了】　☆…,2026-01-05,1億7990万円,東京都千代田区神田猿楽町２-4-11,ＪＲ中央線「御茶ノ水」徒歩6分,102.53m2（31.01坪）,3LDK,-,1977年2月
/ms/chuko/tokyo/sc_chiyoda/nc_79112168/,東京レジデンス,2026-01-05,1億8999万円,東京都千代田区飯田橋２-18-1,東京メトロ東西線「九段下」徒歩4分,56.63m2（17.13坪）（壁芯）,2LDK,11.5m2,2003年2月
/ms/chuko/tokyo/sc_chiyoda/nc_79071008/,東京レジデンス,2026-01-05,1億8999万円,東京都千代田区飯田橋２,東京メトロ東西線「九段下」徒歩4分,56.63m2（壁芯）,2LDK,11.5m2,2003年2月
/ms/chuko/tokyo/sc_chiyoda/nc_78674801/,東京タイムズタワー,2026-01-05,2億980万円,東京都千代田区外神田４,ＪＲ山手線「秋葉原」徒歩5分,59.9m2（壁芯）,2LDK,15.91m2,2004年9月
/ms/chuko/tokyo/sc_chiyoda/nc_79056925/,東京パークタワー,2026-01-05,2億2500万円,東京都千代田区神田神保町１,東京メトロ半蔵門線「神保町」徒歩1分,72.66m2（壁芯）,2LDK,-,2003年1月
/ms/chuko/tokyo/sc_chiyoda/nc_79087008/,レ・ジェイドクロス千代田神保町,2026-01-05,2億4000万円,東京都千代田区西神田２-4-16,東京メトロ半蔵門線「神保町」徒歩5分,86.87m2（26.27坪）,3LDK,8.97m2,2023年9月
