link,物件名,date,販売価格,所在地,沿線・駅,専有面積,間取り,バルコニー,築年月
/ms/chuko/tokyo/sc_chuo/nc_78569024/,DEUX　TOURS (ドゥ・トゥール) イースト,2026-01-05,1億2000万円,東京都中央区晴海３,都営大江戸線「勝どき」徒歩5分,47.31m2（壁芯）,1LDK,5.2m2,2015年9月
/ms/chuko/tokyo/sc_chuo/nc_78499485/,ニュー浜町ダイヤマンション,2026-01-05,2599万円,東京都中央区日本橋浜町２,都営新宿線「浜町」徒歩4分,33.4m2（壁芯）,1LDK,3.24m2,1972年2月
/ms/chuko/tokyo/sc_chuo/nc_79074699/,ラインコーポ箱崎,2026-01-05,3600万円,東京都中央区日本橋箱崎町7-2,東京メトロ半蔵門線「水天宮前」徒歩5分,40.36m2（12.20坪）（壁芯）,1LDK,-,1979年10月
/ms/chuko/tokyo/sc_chuo/nc_79111118/,パレ・ドール日本橋,2026-01-05,3799万円,東京都中央区日本橋堀留町１-6-3,東京メトロ日比谷線「人形町」徒歩4分,39.4m2（11.91坪）（壁芯）,1LDK,5.3m2,1980年6月
/ms/chuko/tokyo/sc_chuo/nc_79111121/,パレ・ドール日本橋,2026-01-05,3980万円,東京都中央区日本橋堀留町１-6-3,都営浅草線「人形町」徒歩3分,42.87m2（12.96坪）,1LDK,8.32m2,1980年6月
/ms/chuko/tokyo/sc_chuo/nc_78399821/,ワコー東日本橋マンション,2026-01-05,4250万円,東京都中央区日本橋浜町１,都営新宿線「浜町」徒歩4分,42.74m2（壁芯）,1LDK,3.66m2,1980年4月
/ms/chuko/tokyo/sc_chuo/nc_78725525/,日商岩井日本橋浜町マンション,2026-01-05,4380万円,東京都中央区日本橋中洲,東京メトロ半蔵門線「水天宮前」徒歩5分,52.58m2（壁芯）,2DK+S（納戸）,-,1979年9月
/ms/chuko/tokyo/sc_chuo/nc_78593944/,ステージグランデ茅場町,2026-01-05,4380万円,東京都中央区新川１,ＪＲ京葉線「八丁堀」徒歩7分,25.66m2（壁芯）,1K,3.19m2,2012年5月
/ms/chuko/tokyo/sc_chuo/nc_78991391/,グランスイート東京,2026-01-05,4680万円,東京都中央区八丁堀２-4-9,東京メトロ日比谷線「八丁堀」徒歩4分,24.71m2（7.47坪）（壁芯）,1K,3.6m2,2004年11月
/ms/chuko/tokyo/sc_chuo/nc_78188573/,【今すぐ見たい　お任せください】　セザールスカイタワ…,2026-01-05,4899万円,東京都中央区湊３,東京メトロ有楽町線「新富町」徒歩4分,31.87m2（壁芯）,1K,3.85m2,1997年9月
/ms/chuko/tokyo/sc_chuo/nc_79079700/,蛎殻町住宅,2026-01-05,4980万円,東京都中央区日本橋蛎殻町１-35-2,東京メトロ半蔵門線「水天宮前」徒歩1分,55.05m2（16.65坪）（壁芯）,ワンルーム,-,1965年5月
/ms/chuko/tokyo/sc_chuo/nc_79132777/,ニューシティハイツ日本橋,2026-01-05,5980万円,東京都中央区日本橋箱崎町27-5,東京メトロ半蔵門線「水天宮前」徒歩2分,45.71m2（壁芯）,1LDK,6.83m2,1981年7月
/ms/chuko/tokyo/sc_chuo/nc_78738613/,クオリア銀座三丁目,2026-01-05,6198万円,東京都中央区銀座３,東京メトロ日比谷線「東銀座」徒歩3分,27.3m2（壁芯）,1K,4.1m2,2004年5月
/ms/chuko/tokyo/sc_chuo/nc_78640201/,晴海テラス,2026-01-05,6680万円,東京都中央区晴海５,都営大江戸線「勝どき」徒歩10分,40m2（12.09坪）（壁芯）,1LDK,7.6m2,2009年3月
/ms/chuko/tokyo/sc_chuo/nc_78406794/,セザール月島,2026-01-05,7280万円,東京都中央区佃２,都営大江戸線「月島」徒歩2分,55.51m2（16.79坪）（壁芯）,3LDK,6.34m2,1996年3月
/ms/chuko/tokyo/sc_chuo/nc_79063399/,ヴィークコート人形町,2026-01-05,7680万円,東京都中央区日本橋浜町２,都営浅草線「人形町」徒歩4分,40.36m2（壁芯）,1LDK,6.15m2,2020年1月
/ms/chuko/tokyo/sc_chuo/nc_79075260/,アスコットパーク日本橋浜町公園,2026-01-05,7890万円,東京都中央区日本橋浜町２,都営新宿線「浜町」徒歩3分,42.85m2（壁芯）,1LDK,4.66m2,2006年2月
/ms/chuko/tokyo/sc_chuo/nc_78889731/,【フォルトゥナ日本橋】3方角部屋×新日本橋６分,2026-01-05,7980万円,東京都中央区日本橋小舟町,都営浅草線「人形町」徒歩6分,45.17m2（13.66坪）（壁芯）,1LDK,5.33m2,2001年3月
/ms/chuko/tokyo/sc_chuo/nc_79077742/,ＥＰＩＣ東日本橋レジデンス,2026-01-05,8000万円,東京都中央区東日本橋２-9-7,都営浅草線「東日本橋」徒歩2分,40.75m2（12.32坪）,2LDK,5.85m2,2009年2月
/ms/chuko/tokyo/sc_chuo/nc_79081037/,EPIC東日本橋レジデンス,2026-01-05,8000万円,東京都中央区東日本橋２,都営浅草線「東日本橋」徒歩2分,40.75m2（壁芯）,1LDK,5.85m2,2009年2月
/ms/chuko/tokyo/sc_chuo/nc_79059273/,EPIC東日本橋レジデンス,2026-01-05,8000万円,東京都中央区東日本橋２,都営浅草線「東日本橋」徒歩2分,40.75m2,1LDK,5.85m2,2009年2月
/ms/chuko/tokyo/sc_chuo/nc_78827182/,ベルドゥムール東京八丁堀,2026-01-05,8100万円,東京都中央区八丁堀２,東京メトロ日比谷線「八丁堀」徒歩1分,44.65m2（壁芯）,1LDK,3.8m2,2011年5月
/ms/chuko/tokyo/sc_chuo/nc_78991892/,ベルドゥルーム東京八丁堀,2026-01-05,8100万円,東京都中央区八丁堀２,東京メトロ日比谷線「八丁堀」徒歩1分,44.65m2（壁芯）,1LDK,3.8m2,2011年5月
/ms/chuko/tokyo/sc_chuo/nc_79108875/,オープンレジデンシア日本橋横山町,2026-01-05,8180万円,東京都中央区日本橋横山町,ＪＲ総武線快速「馬喰町」徒歩1分,40.41m2（壁芯）,1LDK,3.31m2,2017年11月
/ms/chuko/tokyo/sc_chuo/nc_78979108/,ラヴェンナ人形町,2026-01-05,8299万円,東京都中央区日本橋人形町３,都営浅草線「人形町」徒歩1分,40.48m2,1LDK,5.48m2,1999年2月
/ms/chuko/tokyo/sc_chuo/nc_78975664/,プレジール日本橋人形町,2026-01-05,9198万円,東京都中央区日本橋人形町２,東京メトロ日比谷線「人形町」徒歩4分,52.67m2（壁芯）,2DK,5.1m2,1998年11月
/ms/chuko/tokyo/sc_chuo/nc_78906475/,マイキャッスル月島,2026-01-05,9490万円,東京都中央区月島１,東京メトロ有楽町線「月島」徒歩3分,55.32m2（壁芯）,2LDK,7.81m2,1997年2月
/ms/chuko/tokyo/sc_chuo/nc_78923388/,マイキャッスル月島,2026-01-05,9490万円,東京都中央区月島１,東京メトロ有楽町線「月島」徒歩3分,55.32m2（壁芯）,2LDK,7.81m2,1997年2月
/ms/chuko/tokyo/sc_chuo/nc_78826563/,ムーンアイランドタワー,2026-01-05,9750万円,東京都中央区月島２,東京メトロ有楽町線「月島」徒歩1分,48.48m2（14.66坪）（壁芯）,1LDK,8.99m2,2002年6月
/ms/chuko/tokyo/sc_chuo/nc_79040763/,シティタワー銀座東,2026-01-05,9780万円,東京都中央区湊２,ＪＲ京葉線「八丁堀」徒歩5分,34.54m2（壁芯）,1LDK,8m2,2019年1月
/ms/chuko/tokyo/sc_chuo/nc_78929678/,月島シティタワー,2026-01-05,9980万円,東京都中央区月島２,東京メトロ有楽町線「月島」徒歩2分,55.92m2（16.91坪）（壁芯）,2LDK,4.16m2,1999年1月
/ms/chuko/tokyo/sc_chuo/nc_78852992/,晴海アイランドトリトンスクエアビュータワー,2026-01-05,9980万円,東京都中央区晴海１,都営大江戸線「月島」徒歩6分,55.27m2（壁芯）,1LDK+S（納戸）,7.97m2,1998年2月
/ms/chuko/tokyo/sc_chuo/nc_78807578/,プレール・ドゥーク月島Ⅱ,2026-01-05,9999万円,東京都中央区佃３,東京メトロ有楽町線「月島」徒歩3分,55.1m2（壁芯）,2LDK,4.01m2,2018年1月
/ms/chuko/tokyo/sc_chuo/nc_78809950/,晴海アイランドトリトンスクエアビュータワー,2026-01-05,1億480万円,東京都中央区晴海１,東京メトロ有楽町線「月島」徒歩7分,55.27m2（16.71坪）（壁芯）,1LDK+S（納戸）,7.97m2,1998年2月
/ms/chuko/tokyo/sc_chuo/nc_78088395/,パークリュクス日本橋,2026-01-05,1億490万円,東京都中央区日本橋兜町,東京メトロ日比谷線「茅場町」徒歩3分,42m2（壁芯）,1LDK,7.65m2,2014年2月
