link,物件名,date,販売価格,所在地,沿線・駅,専有面積,間取り,バルコニー,築年月
/ms/chuko/tokyo/sc_edogawa/nc_79036738/,タカエイマンション,2026-01-05,2390万円,東京都江戸川区本一色１,ＪＲ総武線「新小岩」徒歩14分,76.31m2（壁芯）,1LDK,20m2,1976年10月
/ms/chuko/tokyo/sc_edogawa/nc_78863047/,タカエイマンション,2026-01-05,2390万円,東京都江戸川区本一色１,ＪＲ総武線「新小岩」徒歩15分,76.31m2（壁芯）,1LDK,-,1976年10月
/ms/chuko/tokyo/sc_edogawa/nc_78942246/,サンサーラ新小岩,2026-01-05,3090万円,東京都江戸川区中央４-１－７,ＪＲ総武線「新小岩」徒歩10分,40.32m2（12.19坪）（壁芯）,2DK,7.56m2,1979年2月
/ms/chuko/tokyo/sc_edogawa/nc_78701466/,日神パレステージ小岩第二,2026-01-05,3380万円,東京都江戸川区北小岩２,京成本線「京成小岩」徒歩3分,57.17m2（17.29坪）（壁芯）,2LDK,-,1990年4月
/ms/chuko/tokyo/sc_edogawa/nc_77512942/,ソフトタウン小島町,2026-01-05,3490万円,東京都江戸川区西葛西２,東京メトロ東西線「西葛西」徒歩9分,66m2（19.96坪）（壁芯）,2LDK,7.73m2,1976年4月
/ms/chuko/tokyo/sc_edogawa/nc_79012900/,グリーンパーク新小岩,2026-01-05,3580万円,東京都江戸川区松江２,都営新宿線「船堀」バス8分停歩5分,57.5m2（17.39坪）（壁芯）,3LDK,5.88m2,1986年8月
/ms/chuko/tokyo/sc_edogawa/nc_77658749/,葛西ハイツ,2026-01-05,3690万円,東京都江戸川区中葛西５,東京メトロ東西線「西葛西」徒歩8分,71.8m2（壁芯）,2LDK,7.02m2,1975年5月
/ms/chuko/tokyo/sc_edogawa/nc_77963873/,ハイネス新小岩親水公園,2026-01-05,3780万円,東京都江戸川区中央１,ＪＲ総武線「新小岩」徒歩22分,74.94m2（22.66坪）（壁芯）,3LDK,10.14m2,1990年7月
/ms/chuko/tokyo/sc_edogawa/nc_78547225/,日神パレステージ船堀,2026-01-05,3790万円,東京都江戸川区松江３,都営新宿線「船堀」徒歩17分,65.27m2（19.74坪）（壁芯）,2LDK+S（納戸）,14.05m2,2001年9月
/ms/chuko/tokyo/sc_edogawa/nc_79055029/,ソフトタウン小島町,2026-01-05,3900万円,東京都江戸川区西葛西２,東京メトロ東西線「西葛西」徒歩9分,66m2（壁芯）,2LDK,7.73m2,1976年4月
/ms/chuko/tokyo/sc_edogawa/nc_77846720/,グランシティユーロパークス新小岩,2026-01-05,4099万円,東京都江戸川区上一色１,ＪＲ総武線「小岩」徒歩19分,75.71m2（22.90坪）（壁芯）,3LDK,13.4m2,2005年2月
/ms/chuko/tokyo/sc_edogawa/nc_78661446/,フローレンスパレス瑞江レフィナード,2026-01-05,4180万円,東京都江戸川区春江町２,都営新宿線「篠崎」徒歩21分,75.73m2（壁芯）,3LDK,20.63m2,2003年5月
/ms/chuko/tokyo/sc_edogawa/nc_78380432/,ライオンズマンション東葛西弐番館,2026-01-05,4180万円,東京都江戸川区東葛西４,東京メトロ東西線「葛西」徒歩15分,77.27m2（壁芯）,3LDK,-,2000年1月
/ms/chuko/tokyo/sc_edogawa/nc_78926140/,アーベントハイム葛西臨海公園,2026-01-05,4190万円,東京都江戸川区南葛西５,ＪＲ京葉線「葛西臨海公園」徒歩18分,72m2（21.77坪）（壁芯）,3LDK,7.12m2,1998年9月
/ms/chuko/tokyo/sc_edogawa/nc_79069118/,グリーンパーク新小岩,2026-01-05,4198万円,東京都江戸川区松江２,ＪＲ総武線「新小岩」徒歩32分,81.97m2（壁芯）,3LDK,15.61m2,1986年7月
/ms/chuko/tokyo/sc_edogawa/nc_79068636/,グリーンパーク新小岩,2026-01-05,4198万円,東京都江戸川区松江２,ＪＲ総武線「新小岩」バス10分停歩2分,81.97m2（壁芯）,3LDK,15.61m2,1986年7月
/ms/chuko/tokyo/sc_edogawa/nc_78967157/,レジェンド平井,2026-01-05,4280万円,東京都江戸川区平井４,ＪＲ総武線「平井」徒歩3分,57.86m2（17.50坪）（壁芯）,2LDK,18.59m2,1996年8月
/ms/chuko/tokyo/sc_edogawa/nc_79058402/,日商岩井宇喜田マンション,2026-01-05,4380万円,東京都江戸川区北葛西４,東京メトロ東西線「西葛西」徒歩9分,72.85m2（22.03坪）（壁芯）,2LDK+S（納戸）,9.1m2,1974年9月
/ms/chuko/tokyo/sc_edogawa/nc_79104264/,ファミール新小岩,2026-01-05,4390万円,東京都江戸川区中央３-12-18,ＪＲ総武線「新小岩」徒歩22分,74.13m2（22.42坪）,3LDK,9.75m2,1991年8月
/ms/chuko/tokyo/sc_edogawa/nc_78510102/,ファミール新小岩,2026-01-05,4390万円,東京都江戸川区中央３,ＪＲ総武線「新小岩」徒歩22分,74.13m2（壁芯）,3LDK,9.75m2,1991年8月
