link,物件名,date,販売価格,所在地,沿線・駅,専有面積,間取り,バルコニー,築年月
/ms/chuko/tokyo/sc_itabashi/nc_78806915/,ライオンズマンション西高島平第二,2026-01-05,2190万円,東京都板橋区成増５,都営三田線「西高島平」徒歩14分,55.05m2（壁芯）,3LDK,2.7m2,1986年4月
/ms/chuko/tokyo/sc_itabashi/nc_79019551/,ローヤルハイツ氷川,2026-01-05,2580万円,東京都板橋区氷川町,都営三田線「板橋本町」徒歩7分,41.7m2（壁芯）,1LDK,11.66m2,1980年9月
/ms/chuko/tokyo/sc_itabashi/nc_77392791/,志村坂上駅徒歩8分◆タカシマ志村マンション◆2025…,2026-01-05,2580万円,東京都板橋区志村３,都営三田線「志村坂上」徒歩8分,55.52m2（16.79坪）（壁芯）,3DK,7.7m2,1974年1月
/ms/chuko/tokyo/sc_itabashi/nc_79111358/,高島平第一住宅１号棟,2026-01-05,2799万円,東京都板橋区高島平３-11-1,都営三田線「高島平」徒歩5分,56.54m2（17.10坪）（壁芯）,2LDK,-,1972年1月
/ms/chuko/tokyo/sc_itabashi/nc_78439456/,メゾン蓮根,2026-01-05,2880万円,東京都板橋区蓮根１,都営三田線「蓮根」徒歩10分,49.15m2（14.86坪）（壁芯）,2LDK,3m2,1982年5月
/ms/chuko/tokyo/sc_itabashi/nc_77970326/,菱和パレス小竹向原,2026-01-05,2880万円,東京都板橋区大谷口北町78-6,東京メトロ有楽町線「小竹向原」徒歩13分,41.54m2（壁芯）,2DK,3.42m2,1990年10月
/ms/chuko/tokyo/sc_itabashi/nc_78774722/,ロイヤルパレス板橋,2026-01-05,2980万円,東京都板橋区板橋３-38-10,都営三田線「板橋区役所前」徒歩7分,43.16m2（壁芯）,3DK,5.94m2,1984年12月
/ms/chuko/tokyo/sc_itabashi/nc_78888191/,高島平マンション,2026-01-05,3080万円,東京都板橋区高島平７,都営三田線「新高島平」徒歩5分,64.8m2（19.60坪）（壁芯）,2LDK,18.63m2,1981年10月
/ms/chuko/tokyo/sc_itabashi/nc_78882546/,ライオンズマンション蓮沼,2026-01-05,3099万円,東京都板橋区蓮沼町,都営三田線「本蓮沼」徒歩4分,41.07m2（壁芯）,1LDK,5.88m2,1979年8月
/ms/chuko/tokyo/sc_itabashi/nc_79111985/,サンパレス本町,2026-01-05,3180万円,東京都板橋区本町38-6,都営三田線「板橋本町」徒歩3分,41.1m2（12.43坪）,1LDK,5.43m2,1985年10月
/ms/chuko/tokyo/sc_itabashi/nc_79091864/,キャスティ上板橋,2026-01-05,3180万円,東京都板橋区若木２,東武東上線「東武練馬」徒歩10分,53.31m2（壁芯）,2LDK,6.45m2,1984年3月
/ms/chuko/tokyo/sc_itabashi/nc_79070065/,エクセル北池,2026-01-05,3199万円,東京都板橋区中丸町,東武東上線「大山」徒歩10分,41.64m2（壁芯）,1LDK,6.82m2,1981年7月
/ms/chuko/tokyo/sc_itabashi/nc_79112180/,エクセル北池,2026-01-05,3199万円,東京都板橋区中丸町17-8,東武東上線「大山」徒歩10分,41.64m2（12.59坪）（壁芯）,1LDK,6.82m2,1981年7月
/ms/chuko/tokyo/sc_itabashi/nc_79077973/,エクセル北池,2026-01-05,3199万円,東京都板橋区中丸町,東武東上線「大山」徒歩10分,41.64m2（壁芯）,1LDK,6.82m2,1981年7月
/ms/chuko/tokyo/sc_itabashi/nc_79064280/,エクセル北池,2026-01-05,3199万円,東京都板橋区中丸町17-8,東武東上線「大山」徒歩10分,41.64m2（壁芯）,1LDK,6.82m2,1981年7月
/ms/chuko/tokyo/sc_itabashi/nc_78657786/,レーベンハイム赤塚公園参番館,2026-01-05,3240万円,東京都板橋区四葉１,東武東上線「下赤塚」徒歩15分,45.74m2,1LDK+S（納戸）,7.05m2,1998年11月
/ms/chuko/tokyo/sc_itabashi/nc_78516190/,小豆沢ローズハイム,2026-01-05,3290万円,東京都板橋区小豆沢３,都営三田線「志村坂上」徒歩1分,48.07m2,2LDK,5.39m2,1975年5月
/ms/chuko/tokyo/sc_itabashi/nc_78640682/,大山ローヤルコーポ,2026-01-05,3290万円,東京都板橋区栄町,東武東上線「中板橋」徒歩7分,48.6m2（壁芯）,2LDK,5.4m2,1974年11月
/ms/chuko/tokyo/sc_itabashi/nc_78487749/,中銀城北パークマンシオン,2026-01-05,3390万円,東京都板橋区坂下２,都営三田線「蓮根」徒歩5分,55m2（壁芯）,3LDK,7.7m2,1973年9月
/ms/chuko/tokyo/sc_itabashi/nc_78487411/,中銀城北パーク マンシオン,2026-01-05,3390万円,東京都板橋区坂下２,都営三田線「蓮根」徒歩5分,55m2（16.63坪）（壁芯）,3LDK,7.7m2,1973年9月
/ms/chuko/tokyo/sc_itabashi/nc_79112075/,中丸町住宅,2026-01-05,3480万円,東京都板橋区中丸町9-1,ＪＲ山手線「池袋」徒歩13分,70.43m2（21.30坪）,2LDK,7m2,1973年2月
/ms/chuko/tokyo/sc_itabashi/nc_78438203/,ダイアパレス常盤台,2026-01-05,3480万円,東京都板橋区常盤台１-67-5,東武東上線「ときわ台」徒歩5分,31.09m2（登記）,1LDK,8.36m2,2003年10月
/ms/chuko/tokyo/sc_itabashi/nc_78604604/,セザール中板橋,2026-01-05,3580万円,東京都板橋区中板橋,東武東上線「中板橋」徒歩8分,50.46m2（壁芯）,3LDK,3.95m2,1990年9月
/ms/chuko/tokyo/sc_itabashi/nc_78917091/,洋伸小豆沢公園マンション,2026-01-05,3680万円,東京都板橋区東坂下１-6-10,都営三田線「志村坂上」徒歩11分,54m2（壁芯）,3LDK,6.48m2,1981年5月
/ms/chuko/tokyo/sc_itabashi/nc_78630976/,グローベル志村坂上プライムシティ,2026-01-05,4098万円,東京都板橋区小豆沢２,都営三田線「志村坂上」徒歩11分,41.69m2（壁芯）,2DK,7.23m2,2007年10月
/ms/chuko/tokyo/sc_itabashi/nc_78754179/,成増第3シャトレ,2026-01-05,4180万円,東京都板橋区成増１,東京メトロ有楽町線「地下鉄成増」徒歩6分,100.74m2（30.47坪）（壁芯）,4LDK,23.3m2,1980年2月
/ms/chuko/tokyo/sc_itabashi/nc_79060942/,レーベンハイム常盤台,2026-01-05,4198万円,東京都板橋区南常盤台２,東武東上線「ときわ台」徒歩7分,54m2（壁芯）,2DK+S（納戸）,7.56m2,1996年11月
/ms/chuko/tokyo/sc_itabashi/nc_78115122/,サンシティ　J棟,2026-01-05,4199万円,東京都板橋区中台３,都営三田線「志村三丁目」徒歩10分,63.95m2,2LDK+S（納戸）,9.45m2,1980年2月
/ms/chuko/tokyo/sc_itabashi/nc_78409645/,エクセリア池袋WEST,2026-01-05,4280万円,東京都板橋区南町15-5,東京メトロ有楽町線「要町」徒歩8分,40.32m2（12.19坪）（壁芯）,1LDK,6.4m2,2004年10月
/ms/chuko/tokyo/sc_itabashi/nc_78484620/,ナイスアーバン志村坂上,2026-01-05,4299万円,東京都板橋区小豆沢３-10-10,都営三田線「志村坂上」徒歩6分,55.67m2（16.84坪）（壁芯）,2LDK,6.55m2,1991年9月
/ms/chuko/tokyo/sc_itabashi/nc_77780949/,コスモ板橋蓮根,2026-01-05,4380万円,東京都板橋区舟渡３,ＪＲ埼京線「浮間舟渡」徒歩14分,61.49m2,1LDK+S（納戸）,66.2m2,1989年3月
/ms/chuko/tokyo/sc_itabashi/nc_79032013/,ナイスアーバン池袋山手通り,2026-01-05,4380万円,東京都板橋区熊野町,東武東上線「下板橋」徒歩8分,60.76m2（壁芯）,3LDK,8.15m2,1993年3月
/ms/chuko/tokyo/sc_itabashi/nc_78560549/,スカーラ板橋,2026-01-05,4399万円,東京都板橋区大谷口北町,東武東上線「中板橋」徒歩13分,55.96m2（16.92坪）,2DK+S（納戸）,6.19m2,1998年1月
/ms/chuko/tokyo/sc_itabashi/nc_78812901/,池袋シティハウス,2026-01-05,4498万円,東京都板橋区中丸町,東京メトロ有楽町線「要町」徒歩13分,45.6m2（壁芯）,1LDK,6.07m2,1991年8月
/ms/chuko/tokyo/sc_itabashi/nc_78530530/,レーベンハイム下赤塚,2026-01-05,4690万円,東京都板橋区赤塚１,東武東上線「下赤塚」徒歩9分,55.57m2（16.80坪）（壁芯）,3LDK,8.57m2,2000年5月
/ms/chuko/tokyo/sc_itabashi/nc_78110963/,ライオンズマンション板橋大原,2026-01-05,4780万円,東京都板橋区大原町,都営三田線「本蓮沼」徒歩5分,60.15m2（壁芯）,3LDK,4.8m2,1987年7月
/ms/chuko/tokyo/sc_itabashi/nc_78681443/,サンシティ　B棟,2026-01-05,4880万円,東京都板橋区中台３,都営三田線「志村三丁目」徒歩11分,73.05m2（壁芯）,3LDK,8.91m2,1978年8月
/ms/chuko/tokyo/sc_itabashi/nc_78824951/,ＮＩＣＥアーバン池袋山手通り,2026-01-05,4899万円,東京都板橋区熊野町,東武東上線「下板橋」徒歩9分,60.76m2（18.37坪）（壁芯）,3LDK,8.15m2,1993年3月
/ms/chuko/tokyo/sc_itabashi/nc_79111189/,エコヴィレッジ蓮根みなみ公園,2026-01-05,4980万円,東京都板橋区蓮根１-24-5,都営三田線「蓮根」徒歩7分,70.19m2（21.23坪）,3LDK,-,2013年10月
/ms/chuko/tokyo/sc_itabashi/nc_78858315/,【今すぐ見たい　お任せください】　セザールリバーサイ…,2026-01-05,4980万円,東京都板橋区東山町,東武東上線「ときわ台」徒歩13分,65.06m2（壁芯）,3LDK,5.72m2,2002年6月
/ms/chuko/tokyo/sc_itabashi/nc_78125674/,ルピナス赤塚ツインズガーデン弐番館,2026-01-05,4980万円,東京都板橋区赤塚２,東京メトロ有楽町線「地下鉄赤塚」徒歩5分,71.55m2（壁芯）,3LDK,14.82m2,2000年10月
/ms/chuko/tokyo/sc_itabashi/nc_77861692/,エコヴィレッジ蓮根みなみ公園,2026-01-05,4980万円,東京都板橋区蓮根１-24-5,都営三田線「蓮根」徒歩7分,70.19m2（21.23坪）（壁芯）,3LDK,-,2013年10月
/ms/chuko/tokyo/sc_itabashi/nc_79037649/,サンパレス本町,2026-01-05,5180万円,東京都板橋区本町,都営三田線「板橋本町」徒歩3分,70m2（21.17坪）（登記）,3LDK,9.7m2,1985年9月
/ms/chuko/tokyo/sc_itabashi/nc_78705207/,パーク・ノヴァ池袋・要町,2026-01-05,5199万円,東京都板橋区南町,東武東上線「大山」徒歩12分,61.8m2（壁芯）,3LDK,6.75m2,1987年9月
/ms/chuko/tokyo/sc_itabashi/nc_78535361/,スカーラ池袋西,2026-01-05,5350万円,東京都板橋区中丸町,東武東上線「大山」徒歩10分,60.55m2（18.31坪）（壁芯）,2LDK,22.58m2,1999年11月
/ms/chuko/tokyo/sc_itabashi/nc_78866099/,アークステージ北池袋,2026-01-05,5399万円,東京都板橋区熊野町16-3,東武東上線「下板橋」徒歩10分,56.06m2（16.95坪）（壁芯）,2LDK,6.06m2,1996年2月
/ms/chuko/tokyo/sc_itabashi/nc_78075815/,【今すぐ見たい　お任せください】 アークステージ北池…,2026-01-05,5399万円,東京都板橋区熊野町,東武東上線「下板橋」徒歩10分,56.06m2（壁芯）,2LDK,6.06m2,1996年2月
/ms/chuko/tokyo/sc_itabashi/nc_78975537/,シャロン志村坂上セカンドステージ,2026-01-05,5480万円,東京都板橋区志村１,都営三田線「志村坂上」徒歩3分,67.65m2（壁芯）,2DK+S（納戸）,17.66m2,1994年3月
/ms/chuko/tokyo/sc_itabashi/nc_77904334/,秀和大山レジデンス,2026-01-05,5480万円,東京都板橋区熊野町,東武東上線「大山」徒歩8分,70.1m2,3LDK,20.19m2,1980年1月
/ms/chuko/tokyo/sc_itabashi/nc_77599432/,ライオンズガーデン東武練馬壱番館,2026-01-05,5500万円,東京都板橋区徳丸２,東武東上線「東武練馬」徒歩5分,75.75m2（壁芯）,3LDK,10.92m2,2001年1月
/ms/chuko/tokyo/sc_itabashi/nc_78968713/,成増ローヤルコーポ,2026-01-05,5880万円,東京都板橋区成増１,東京メトロ有楽町線「地下鉄成増」徒歩1分,65.34m2（壁芯）,2LDK,11.29m2,1984年6月
/ms/chuko/tokyo/sc_itabashi/nc_78212595/,プライムコート大山,2026-01-05,5890万円,東京都板橋区大山西町,東武東上線「大山」徒歩9分,71.07m2（21.49坪）（壁芯）,3LDK,11.35m2,1998年8月
/ms/chuko/tokyo/sc_itabashi/nc_78946758/,ヴェレーナ東武練馬レジデンス,2026-01-05,5980万円,東京都板橋区徳丸４,東武東上線「東武練馬」徒歩14分,68.74m2（20.79坪）（壁芯）,3LDK+S（納戸）,5.04m2,2021年4月
/ms/chuko/tokyo/sc_itabashi/nc_78886339/,アリーナ赤塚,2026-01-05,5980万円,東京都板橋区赤塚６,東京メトロ有楽町線「地下鉄赤塚」徒歩13分,91.33m2（27.62坪）（壁芯）,3LDK,-,2001年6月
/ms/chuko/tokyo/sc_itabashi/nc_79036494/,ヴェレーナ東武練馬レジデンス,2026-01-05,5980万円,東京都板橋区徳丸４,東武東上線「東武練馬」徒歩14分,68.74m2（20.79坪）（壁芯）,3LDK,5.04m2,2021年4月
/ms/chuko/tokyo/sc_itabashi/nc_79074874/,ヴェレーナ東武練馬レジデンス,2026-01-05,5980万円,東京都板橋区徳丸４-30-10,東武東上線「東武練馬」徒歩14分,68.74m2（20.79坪）,3LDK,5.04m2,2021年4月
/ms/chuko/tokyo/sc_itabashi/nc_79072161/,アリーナ赤塚,2026-01-05,5980万円,東京都板橋区赤塚６,東京メトロ有楽町線「地下鉄赤塚」徒歩13分,91.33m2（27.62坪）（壁芯）,3LDK,17.18m2,2001年6月
/ms/chuko/tokyo/sc_itabashi/nc_78973140/,アリーナ赤塚,2026-01-05,5980万円,東京都板橋区赤塚６,東武東上線「下赤塚」徒歩13分,91.33m2（壁芯）,3LDK,5.85m2,2001年6月
/ms/chuko/tokyo/sc_itabashi/nc_78860298/,朝日クレス・パリオ大山,2026-01-05,5980万円,東京都板橋区大山町,東武東上線「大山」徒歩9分,64.65m2（19.55坪）（壁芯）,3LDK,5.32m2,1995年4月
/ms/chuko/tokyo/sc_itabashi/nc_79079814/,ライオンズモリス小竹向原,2026-01-05,5999万円,東京都板橋区小茂根２,東京メトロ有楽町線「小竹向原」徒歩13分,59.12m2（壁芯）,2LDK+S（納戸）,9.12m2,2000年3月
/ms/chuko/tokyo/sc_itabashi/nc_79074222/,ライオンズモリス小竹向原,2026-01-05,5999万円,東京都板橋区小茂根２,東京メトロ有楽町線「小竹向原」徒歩13分,59.12m2（壁芯）,2LDK+S（納戸）,9.12m2,2000年3月
/ms/chuko/tokyo/sc_itabashi/nc_78973256/,プラウド板橋区役所前,2026-01-05,6080万円,東京都板橋区仲宿,都営三田線「板橋区役所前」徒歩4分,35.68m2（壁芯）,1LDK,6.42m2,2022年1月
/ms/chuko/tokyo/sc_itabashi/nc_78349500/,イニシア板橋浮間公園,2026-01-05,6180万円,東京都板橋区舟渡２,ＪＲ埼京線「浮間舟渡」徒歩6分,70.03m2（壁芯）,3LDK,15.36m2,2016年1月
/ms/chuko/tokyo/sc_itabashi/nc_78873727/,コートハウス城北中央公園,2026-01-05,6190万円,東京都板橋区小茂根３,東京メトロ有楽町線「小竹向原」徒歩13分,79.51m2（壁芯）,3LDK,11.72m2,1985年10月
/ms/chuko/tokyo/sc_itabashi/nc_79068298/,ファミール志村坂上グラントーレ,2026-01-05,6380万円,東京都板橋区小豆沢１,都営三田線「志村坂上」徒歩5分,72.38m2（壁芯）,3LDK,12.8m2,2002年3月
/ms/chuko/tokyo/sc_itabashi/nc_79015859/,ダイアパレス成増II,2026-01-05,6480万円,東京都板橋区成増３,東武東上線「成増」徒歩6分,84.75m2（壁芯）,3LDK,29.07m2,1995年2月
/ms/chuko/tokyo/sc_itabashi/nc_79112105/,パラッシオ赤塚公園,2026-01-05,6499万円,東京都板橋区徳丸７-6-12,都営三田線「高島平」徒歩14分,89.47m2（27.06坪）（壁芯）,3LDK+S（納戸）,14.69m2,2003年11月
/ms/chuko/tokyo/sc_itabashi/nc_78993883/,ザ・ステイツ常盤台東山コモンズ,2026-01-05,6580万円,東京都板橋区東山町14-1,東武東上線「ときわ台」徒歩8分,76.15m2（23.03坪）,3LDK,20.14m2,1999年10月
/ms/chuko/tokyo/sc_itabashi/nc_79061852/,アークマークときわ台 10階部分,2026-01-05,6600万円,東京都板橋区南常盤台１,東武東上線「ときわ台」徒歩5分,55.96m2（16.92坪）（壁芯）,2LDK,-,2024年1月
/ms/chuko/tokyo/sc_itabashi/nc_78973216/,シティハウス板橋大山,2026-01-05,6780万円,東京都板橋区中丸町,東武東上線「大山」徒歩7分,54.57m2（壁芯）,2LDK,8.71m2,2012年1月
/ms/chuko/tokyo/sc_itabashi/nc_78844064/,コスモ板橋区役所前,2026-01-05,6780万円,東京都板橋区仲宿,都営三田線「板橋区役所前」徒歩6分,65.7m2（壁芯）,3LDK,21m2,2002年2月
