link,物件名,date,販売価格,所在地,沿線・駅,専有面積,間取り,バルコニー,築年月
/ms/chuko/tokyo/sc_katsushika/nc_78063452/,白鳥ダイヤモンドマンション　１号棟,2026-01-05,1970万円,東京都葛飾区白鳥４-1-24,京成本線「お花茶屋」徒歩10分,49.41m2（14.94坪）（壁芯）,2DK,17.31m2,1978年8月
/ms/chuko/tokyo/sc_katsushika/nc_79022313/,メゾン・ドール青戸,2026-01-05,2199万円,東京都葛飾区青戸７,ＪＲ常磐線「亀有」徒歩17分,50.41m2（壁芯）,3LDK,12.6m2,1984年3月
/ms/chuko/tokyo/sc_katsushika/nc_78299322/,ライオンズマンション堀切菖蒲園第2,2026-01-05,2430万円,東京都葛飾区堀切１,京成本線「堀切菖蒲園」徒歩13分,51.98m2,1LDK+S（納戸）,8.1m2,1988年4月
/ms/chuko/tokyo/sc_katsushika/nc_78135249/,サンハイツ亀有,2026-01-05,2490万円,東京都葛飾区亀有２,ＪＲ常磐線「亀有」徒歩9分,41.2m2（壁芯）,1LDK,2.7m2,1985年3月
/ms/chuko/tokyo/sc_katsushika/nc_77400170/,グリーンハイツ金町,2026-01-05,2490万円,東京都葛飾区東金町１-39-1,ＪＲ常磐線「金町」徒歩3分,47.47m2（14.35坪）（壁芯）,ワンルーム,5.15m2,1979年4月
/ms/chuko/tokyo/sc_katsushika/nc_78997433/,お花茶屋ダイヤモンドマンション,2026-01-05,2499万円,東京都葛飾区お花茶屋１,京成本線「お花茶屋」徒歩2分,48.34m2（壁芯）,2LDK,9m2,1977年9月
/ms/chuko/tokyo/sc_katsushika/nc_77778332/,ガーデンプラザ柴又弐番館,2026-01-05,2680万円,東京都葛飾区柴又２,京成金町線「柴又」徒歩9分,68.43m2,3LDK,10.82m2,1984年11月
/ms/chuko/tokyo/sc_katsushika/nc_78850175/,立石南ハウス,2026-01-05,2680万円,東京都葛飾区東四つ木２,京成押上線「四ツ木」徒歩12分,49.84m2（壁芯）,ワンルーム,7.84m2,1984年6月
/ms/chuko/tokyo/sc_katsushika/nc_79074775/,ファースト新小岩マンション,2026-01-05,2680万円,東京都葛飾区新小岩４-45-13,ＪＲ総武線「新小岩」徒歩18分,55.18m2（16.69坪）（壁芯）,2LDK,8.41m2,1982年3月
/ms/chuko/tokyo/sc_katsushika/nc_78746462/,スカイウェイ立石,2026-01-05,2780万円,東京都葛飾区立石１,京成押上線「京成立石」徒歩2分,40.53m2（壁芯）,2DK,4.19m2,1992年6月
/ms/chuko/tokyo/sc_katsushika/nc_78970288/,スカイウェイ立石,2026-01-05,2780万円,東京都葛飾区立石１,京成押上線「京成立石」徒歩2分,40.53m2（12.26坪）（壁芯）,2DK,4.19m2,1992年6月
/ms/chuko/tokyo/sc_katsushika/nc_77638212/,コスモお花茶屋参番館,2026-01-05,2890万円,東京都葛飾区白鳥２,京成本線「お花茶屋」徒歩9分,53.35m2（壁芯）,3LDK,9.4m2,1993年3月
/ms/chuko/tokyo/sc_katsushika/nc_78682257/,いづみハイツ柴又,2026-01-05,3150万円,東京都葛飾区柴又１-39-10,京成金町線「柴又」徒歩3分,68.01m2（20.57坪）（壁芯）,3LDK,16.95m2,1984年12月
/ms/chuko/tokyo/sc_katsushika/nc_78381155/,セザール金町,2026-01-05,3160万円,東京都葛飾区金町６,ＪＲ常磐線「金町」徒歩6分,60.5m2（壁芯）,2LDK,6.42m2,1982年9月
/ms/chuko/tokyo/sc_katsushika/nc_78474820/,クレドール水元公園　１ＬＤＫ+２Ｓ,2026-01-05,3180万円,東京都葛飾区水元３-3-13,ＪＲ常磐線「金町」バス9分停歩2分,60.91m2（壁芯）,1LDK+2S（納戸）,7.25m2,1995年2月
/ms/chuko/tokyo/sc_katsushika/nc_78807331/,ネオコーポ第２お花茶屋,2026-01-05,3280万円,東京都葛飾区東堀切２,京成本線「お花茶屋」徒歩11分,66m2（壁芯）,3LDK,10.41m2,1981年12月
/ms/chuko/tokyo/sc_katsushika/nc_78720058/,ネオコーポ第２お花茶屋,2026-01-05,3280万円,東京都葛飾区東堀切２,京成本線「お花茶屋」徒歩11分,66m2（壁芯）,3LDK,10.41m2,1981年12月
/ms/chuko/tokyo/sc_katsushika/nc_78564636/,白鳥ハウス,2026-01-05,3390万円,東京都葛飾区白鳥４,京成本線「お花茶屋」徒歩14分,63.22m2（19.12坪）（壁芯）,3LDK,7.24m2,1982年2月
/ms/chuko/tokyo/sc_katsushika/nc_79044844/,白鳥ハウス,2026-01-05,3390万円,東京都葛飾区白鳥４,京成本線「お花茶屋」徒歩14分,63.22m2（壁芯）,3LDK,7.24m2,1982年2月
/ms/chuko/tokyo/sc_katsushika/nc_79077592/,マンハイム白鳥,2026-01-05,3480万円,東京都葛飾区白鳥４,京成本線「お花茶屋」徒歩10分,52.92m2（壁芯）,2LDK,7.32m2,1983年9月
/ms/chuko/tokyo/sc_katsushika/nc_78689982/,モア・ステージ新小岩,2026-01-05,3680万円,東京都葛飾区西新小岩４-9-5,ＪＲ総武線快速「新小岩」徒歩13分,70.02m2（21.18坪）（壁芯）,3LDK,8.22m2,1996年8月
/ms/chuko/tokyo/sc_katsushika/nc_79077771/,ニューハイツ中川,2026-01-05,3780万円,東京都葛飾区亀有２-70-3,ＪＲ常磐線「亀有」徒歩10分,61.57m2（18.62坪）,2LDK,-,1977年11月
/ms/chuko/tokyo/sc_katsushika/nc_78971954/,四つ木パーク・ホームズ,2026-01-05,3980万円,東京都葛飾区四つ木４,京成押上線「四ツ木」徒歩13分,62m2（18.75坪）（壁芯）,3LDK,9.38m2,1994年6月
/ms/chuko/tokyo/sc_katsushika/nc_78703416/,【今すぐ見たい　お任せください】　四つ木パーク・ホー…,2026-01-05,3980万円,東京都葛飾区四つ木４,京成押上線「四ツ木」徒歩13分,62m2（壁芯）,3LDK,9.38m2,1994年6月
/ms/chuko/tokyo/sc_katsushika/nc_78723124/,四つ木パーク・ホームズ,2026-01-05,3980万円,東京都葛飾区四つ木４,京成押上線「四ツ木」徒歩13分,62m2（18.75坪）（壁芯）,3LDK,9.38m2,1994年6月
/ms/chuko/tokyo/sc_katsushika/nc_78515601/,ステイツ小岩細田せせらぎ通り,2026-01-05,3990万円,東京都葛飾区細田１,ＪＲ総武線「小岩」徒歩13分,57.19m2（17.29坪）（壁芯）,3LDK,7.71m2,1995年7月
/ms/chuko/tokyo/sc_katsushika/nc_77834165/,ステイツ小岩細田せせらぎ通り,2026-01-05,3990万円,東京都葛飾区細田１-２３－３,ＪＲ総武線「小岩」徒歩13分,57.19m2（17.29坪）（壁芯）,3LDK,7.71m2,1995年7月
/ms/chuko/tokyo/sc_katsushika/nc_78996237/,ロイヤルプラザお花茶屋,2026-01-05,3999万円,東京都葛飾区宝町２,京成本線「お花茶屋」徒歩5分,66.78m2（壁芯）,3LDK,6.96m2,1989年2月
/ms/chuko/tokyo/sc_katsushika/nc_78990265/,ロイヤルプラザお花茶屋,2026-01-05,3999万円,東京都葛飾区宝町２,京成本線「お花茶屋」徒歩5分,66.78m2（壁芯）,3LDK,6.96m2,1989年2月
