link,物件名,date,販売価格,所在地,沿線・駅,専有面積,間取り,バルコニー,築年月
/ms/chuko/tokyo/sc_kita/nc_78169877/,ディアハイム赤羽,2026-01-05,3199万円,東京都北区赤羽北１,ＪＲ埼京線「北赤羽」徒歩6分,53.86m2（16.29坪）（壁芯）,2LDK,11.77m2,1987年2月
/ms/chuko/tokyo/sc_kita/nc_77693678/,ディアハイム赤羽,2026-01-05,3199万円,東京都北区赤羽北１,ＪＲ埼京線「北赤羽」徒歩6分,53.86m2（壁芯）,2LDK,11.77m2,1987年2月
/ms/chuko/tokyo/sc_kita/nc_79077576/,恒陽王子マンション,2026-01-05,3480万円,東京都北区豊島４,ＪＲ京浜東北線「王子」徒歩20分,71.3m2（壁芯）,3LDK,24.95m2,1983年1月
/ms/chuko/tokyo/sc_kita/nc_79015933/,日神デュオステージ王子神谷,2026-01-05,3680万円,東京都北区王子５,東京メトロ南北線「王子神谷」徒歩2分,30.06m2（壁芯）,1DK,3.85m2,2008年7月
/ms/chuko/tokyo/sc_kita/nc_79068671/,ライオンズマンション浮間,2026-01-05,3880万円,東京都北区浮間３,ＪＲ埼京線「北赤羽」徒歩7分,61.95m2,3LDK,9.12m2,1980年7月
/ms/chuko/tokyo/sc_kita/nc_79111979/,サンリーフ王子,2026-01-05,3980万円,東京都北区豊島１-32-2,ＪＲ京浜東北線「王子」徒歩7分,78.4m2（23.71坪）,3LDK,13.6m2,1983年7月
/ms/chuko/tokyo/sc_kita/nc_79036581/,サンリーフ王子,2026-01-05,3980万円,東京都北区豊島１-32-2,ＪＲ京浜東北線「王子」徒歩7分,78.4m2（23.71坪）（壁芯）,3LDK+S（納戸）,13.6m2,1983年7月
/ms/chuko/tokyo/sc_kita/nc_78185435/,ルフォンリブレ赤羽,2026-01-05,3980万円,東京都北区赤羽２,埼玉高速鉄道「赤羽岩淵」徒歩5分,27.23m2（壁芯）,1DK,2.96m2,2020年11月
/ms/chuko/tokyo/sc_kita/nc_77682156/,ローヤルシティ北赤羽,2026-01-05,4480万円,東京都北区浮間３,ＪＲ埼京線「北赤羽」徒歩10分,71.14m2（壁芯）,2LDK+S（納戸）,10.7m2,2003年9月
/ms/chuko/tokyo/sc_kita/nc_79048026/,ライオンズマンション浮間公園第五,2026-01-05,4500万円,東京都北区浮間４,ＪＲ埼京線「浮間舟渡」徒歩7分,61.98m2,3DK,4.95m2,1998年3月
/ms/chuko/tokyo/sc_kita/nc_79074886/,ライオンズマンション浮間公園第5,2026-01-05,4500万円,東京都北区浮間４-１７－２３,ＪＲ埼京線「浮間舟渡」徒歩7分,61.98m2（18.74坪）（壁芯）,3LDK,4.95m2,1998年3月
