link,物件名,date,販売価格,所在地,沿線・駅,専有面積,間取り,バルコニー,築年月
/ms/chuko/tokyo/sc_koto/nc_78852882/,シティタワーズ東京ベイ,2026-01-05,9500万円,東京都江東区有明２,新交通ゆりかもめ「有明」徒歩6分,40.22m2（壁芯）,1LDK,10.85m2,2019年7月
/ms/chuko/tokyo/sc_koto/nc_78860928/,シティタワー有明,2026-01-05,9680万円,東京都江東区有明１,新交通ゆりかもめ「有明テニスの森」徒歩9分,59.86m2（壁芯）,2LDK,-,2009年12月
/ms/chuko/tokyo/sc_koto/nc_79111168/,門前仲町ダイヤマンション,2026-01-05,2580万円,東京都江東区富岡１-22-26,東京メトロ東西線「門前仲町」徒歩3分,32.4m2（9.80坪）,1LDK,3.6m2,1972年10月
/ms/chuko/tokyo/sc_koto/nc_78054366/,ハピーハイツ亀戸,2026-01-05,2680万円,東京都江東区亀戸１,ＪＲ総武線「亀戸」徒歩3分,46.18m2（壁芯）,2LDK,-,1974年5月
/ms/chuko/tokyo/sc_koto/nc_79109684/,北砂四丁目住宅,2026-01-05,2950万円,東京都江東区北砂４-19-30,東京メトロ東西線「南砂町」徒歩15分,54m2（16.33坪）,2LDK,54m2,1972年6月
/ms/chuko/tokyo/sc_koto/nc_78967259/,森下町パブリックハイツ,2026-01-05,3480万円,東京都江東区森下５,都営新宿線「菊川」徒歩5分,32.4m2（壁芯）,1DK,11.07m2,1978年5月
/ms/chuko/tokyo/sc_koto/nc_78747872/,ニューライフマンション木場,2026-01-05,3499万円,東京都江東区塩浜２,東京メトロ有楽町線「豊洲」徒歩12分,46m2（13.91坪）（壁芯）,1LDK,7m2,1982年8月
/ms/chuko/tokyo/sc_koto/nc_78794210/,東陽町ハイホームA棟,2026-01-05,3500万円,東京都江東区東陽４,東京メトロ東西線「東陽町」徒歩3分,48.6m2（壁芯）,2LDK,-,1974年2月
/ms/chuko/tokyo/sc_koto/nc_78338772/,東陽町ハイホームA棟,2026-01-05,3500万円,東京都江東区東陽４,東京メトロ東西線「東陽町」徒歩3分,48.6m2（14.70坪）（壁芯）,1DK,-,1974年2月
/ms/chuko/tokyo/sc_koto/nc_76901355/,サンレイ天神橋,2026-01-05,3580万円,東京都江東区亀戸３,東京メトロ半蔵門線「錦糸町」徒歩11分,55.67m2（16.84坪）（壁芯）,2LDK,3.52m2,1982年2月
/ms/chuko/tokyo/sc_koto/nc_78870471/,ハイラーク大島,2026-01-05,3880万円,東京都江東区東砂１-1-11,都営新宿線「大島」徒歩15分,60.28m2（18.23坪）（壁芯）,1LDK,7.28m2,1982年12月
/ms/chuko/tokyo/sc_koto/nc_78254902/,東砂三丁目ハイツ６号棟,2026-01-05,3900万円,東京都江東区東砂３,都営新宿線「東大島」徒歩15分,80.47m2（24.34坪）（壁芯）,3LDK,11.64m2,1982年8月
/ms/chuko/tokyo/sc_koto/nc_78929894/,マンション第2木場,2026-01-05,3980万円,東京都江東区木場２,東京メトロ東西線「木場」徒歩1分,46.37m2（壁芯）,1LDK,12.83m2,1980年7月
/ms/chuko/tokyo/sc_koto/nc_77858484/,南砂町グリーンハイツ１号棟,2026-01-05,4080万円,東京都江東区南砂３-8-1,東京メトロ東西線「南砂町」徒歩4分,63.84m2（19.31坪）（壁芯）,2LDK,7.84m2,1981年3月
/ms/chuko/tokyo/sc_koto/nc_77338302/,ツインシティ東砂アネックス,2026-01-05,4080万円,東京都江東区東砂８,東京メトロ東西線「南砂町」徒歩13分,71m2（壁芯）,1LDK+S（納戸）,11.06m2,1987年11月
/ms/chuko/tokyo/sc_koto/nc_78830991/,【今すぐ見たい　お任せください】　ライオンズマンショ…,2026-01-05,4180万円,東京都江東区南砂４,東京メトロ東西線「南砂町」徒歩10分,54.46m2（壁芯）,2LDK,6.05m2,1981年12月
/ms/chuko/tokyo/sc_koto/nc_76327009/,アクシアガーデン南砂,2026-01-05,4280万円,東京都江東区南砂５,東京メトロ東西線「南砂町」徒歩14分,56.67m2（壁芯）,2LDK,13.06m2,2000年7月
/ms/chuko/tokyo/sc_koto/nc_78455697/,南砂住宅　２号棟,2026-01-05,4290万円,東京都江東区南砂２,東京メトロ東西線「東陽町」徒歩8分,58.32m2（登記）,3LDK,5.39m2,1974年10月
/ms/chuko/tokyo/sc_koto/nc_78922370/,大島スカイハイツ,2026-01-05,4380万円,東京都江東区東砂１-3-2,都営新宿線「大島」徒歩13分,66m2（19.96坪）（壁芯）,2LDK,27.61m2,1979年3月
/ms/chuko/tokyo/sc_koto/nc_79015912/,亀戸マンシヨン,2026-01-05,4398万円,東京都江東区亀戸９,都営新宿線「東大島」徒歩11分,63.28m2（壁芯）,2LDK+S（納戸）,7.6m2,1980年5月
/ms/chuko/tokyo/sc_koto/nc_79091244/,南砂住宅２号棟,2026-01-05,4490万円,東京都江東区南砂２-3-2,東京メトロ東西線「東陽町」徒歩8分,60.65m2（18.34坪）（壁芯）,2LDK,5.39m2,1974年10月
/ms/chuko/tokyo/sc_koto/nc_78900300/,ウインザーハイム南砂,2026-01-05,4498万円,東京都江東区南砂１,東京メトロ半蔵門線「住吉」徒歩16分,67.49m2（壁芯）,3LDK,5.4m2,1981年8月
/ms/chuko/tokyo/sc_koto/nc_78121315/,トーア南砂マンション,2026-01-05,4499万円,東京都江東区南砂２,東京メトロ東西線「南砂町」徒歩5分,59.52m2（壁芯）,3LDK,6.1m2,1980年3月
/ms/chuko/tokyo/sc_koto/nc_78311854/,【今すぐ見たい　お任せください】　トーア南砂マンショ…,2026-01-05,4499万円,東京都江東区南砂２,東京メトロ東西線「南砂町」徒歩5分,59.52m2（壁芯）,3LDK,6.16m2,1980年3月
/ms/chuko/tokyo/sc_koto/nc_78898288/,パシフィック門前仲町,2026-01-05,4580万円,東京都江東区富岡２-4-3,東京メトロ東西線「門前仲町」徒歩5分,63.44m2（19.19坪）（壁芯）,2LDK,6.62m2,1978年5月
/ms/chuko/tokyo/sc_koto/nc_78954922/,南砂住宅２号棟,2026-01-05,4590万円,東京都江東区南砂２-3-2,東京メトロ東西線「東陽町」徒歩8分,60.65m2（18.34坪）（壁芯）,2LDK,5.39m2,1974年10月
/ms/chuko/tokyo/sc_koto/nc_78444204/,ツインシティ1番館エトランズ東砂,2026-01-05,4599万円,東京都江東区東砂８-5-12,東京メトロ東西線「南砂町」徒歩12分,66.85m2（20.22坪）（壁芯）,3LDK,8.26m2,1986年9月
/ms/chuko/tokyo/sc_koto/nc_78984126/,南砂1丁目エステート1号棟,2026-01-05,4680万円,東京都江東区南砂１,東京メトロ東西線「東陽町」徒歩14分,79.09m2（23.92坪）（壁芯）,3LDK,11.28m2,1981年2月
/ms/chuko/tokyo/sc_koto/nc_78247622/,ツインシティ1番館エトランズ東砂,2026-01-05,4699万円,東京都江東区東砂８,東京メトロ東西線「南砂町」徒歩12分,66.85m2（20.22坪）（壁芯）,3LDK,8.26m2,1986年9月
/ms/chuko/tokyo/sc_koto/nc_79024570/,木場サンハイツ,2026-01-05,4798万円,東京都江東区枝川２,東京メトロ有楽町線「豊洲」徒歩14分,55m2（壁芯）,2LDK,6.5m2,1979年1月
/ms/chuko/tokyo/sc_koto/nc_79086971/,キャニオングランデ大島,2026-01-05,4899万円,東京都江東区北砂６,都営新宿線「大島」徒歩16分,69.86m2（21.13坪）（壁芯）,3LDK,5.1m2,1996年6月
/ms/chuko/tokyo/sc_koto/nc_79085829/,洋伸東大島マンション,2026-01-05,4998万円,東京都江東区大島８,都営新宿線「東大島」徒歩3分,61.6m2（18.63坪）（壁芯）,3LDK,6.72m2,1982年9月
/ms/chuko/tokyo/sc_koto/nc_78743279/,東陽町ガーデニアA棟,2026-01-05,4999万円,東京都江東区南砂２,東京メトロ東西線「南砂町」徒歩10分,66m2（19.96坪）（壁芯）,3LDK,8.12m2,1983年3月
/ms/chuko/tokyo/sc_koto/nc_78842357/,アルファスシティ大島,2026-01-05,5198万円,東京都江東区東砂１,都営新宿線「大島」徒歩17分,70.76m2（壁芯）,3LDK,11.02m2,1997年3月
/ms/chuko/tokyo/sc_koto/nc_79018152/,グリーンコーポ清澄,2026-01-05,5280万円,東京都江東区清澄１-8-6,東京メトロ半蔵門線「清澄白河」徒歩7分,45.41m2（13.73坪）（壁芯）,1LDK,8.4m2,1981年9月
/ms/chuko/tokyo/sc_koto/nc_78955914/,ジョイフル門前仲町第２,2026-01-05,5380万円,東京都江東区富岡２,東京メトロ東西線「門前仲町」徒歩7分,49.14m2（壁芯）,2LDK,7.02m2,1980年10月
