link,物件名,date,販売価格,所在地,沿線・駅,専有面積,間取り,バルコニー,築年月
/ms/chuko/tokyo/sc_meguro/nc_79094566/,目黒コーポビアネーズ,2026-01-05,2080万円,東京都目黒区三田２-16-3,ＪＲ山手線「目黒」徒歩11分,21.24m2（6.42坪）（壁芯）,ワンルーム,2.29m2,1970年11月
/ms/chuko/tokyo/sc_meguro/nc_78904100/,ハイツ第２目黒,2026-01-05,3300万円,東京都目黒区下目黒２-21-24,ＪＲ山手線「目黒」徒歩9分,24.73m2（7.48坪）（壁芯）,1K,1.8m2,1977年7月
/ms/chuko/tokyo/sc_meguro/nc_78794870/,自由ヶ丘第5マンション,2026-01-05,3498万円,東京都目黒区自由が丘２,東急東横線「自由が丘」徒歩9分,37.43m2（11.32坪）（壁芯）,1LDK,4.9m2,1978年7月
/ms/chuko/tokyo/sc_meguro/nc_75753181/,マンションヴィップ目黒,2026-01-05,3780万円,東京都目黒区下目黒４,ＪＲ山手線「目黒」徒歩12分,39.86m2（壁芯）,ワンルーム,1.62m2,1974年3月
/ms/chuko/tokyo/sc_meguro/nc_79109645/,ドミニ目黒,2026-01-05,3880万円,東京都目黒区下目黒６-1-26,東急東横線「祐天寺」徒歩17分,42.89m2（12.97坪）,2LDK,2.7m2,1979年8月
/ms/chuko/tokyo/sc_meguro/nc_78966854/,目黒第二コーポラス,2026-01-05,4080万円,東京都目黒区八雲５-17-6,東急田園都市線「駒沢大学」徒歩15分,50.22m2（15.19坪）,2LDK,6.73m2,1968年5月
/ms/chuko/tokyo/sc_meguro/nc_78702580/,渋谷コーポ,2026-01-05,4200万円,東京都目黒区駒場１,京王井の頭線「神泉」徒歩10分,38.42m2（壁芯）,1LDK,5m2,1964年1月
/ms/chuko/tokyo/sc_meguro/nc_79011942/,パラスト上目黒,2026-01-05,4280万円,東京都目黒区大橋１,東急田園都市線「池尻大橋」徒歩8分,37.26m2（壁芯）,1LDK,8.54m2,1982年5月
/ms/chuko/tokyo/sc_meguro/nc_78865259/,【今すぐ見たい　お任せください】　目黒マンション,2026-01-05,4399万円,東京都目黒区三田２,ＪＲ山手線「恵比寿」徒歩9分,45.51m2（壁芯）,1LDK,1m2,1967年1月
/ms/chuko/tokyo/sc_meguro/nc_78162537/,秀和目黒レジデンス,2026-01-05,4490万円,東京都目黒区三田２-10-59,ＪＲ山手線「目黒」徒歩10分,39.7m2（壁芯）,1LDK,9.9m2,1967年12月
/ms/chuko/tokyo/sc_meguro/nc_78794311/,祐天寺第二コーポラス,2026-01-05,4780万円,東京都目黒区上目黒５,東急東横線「祐天寺」徒歩9分,50.22m2（15.19坪）（壁芯）,2LDK,3m2,1970年10月
/ms/chuko/tokyo/sc_meguro/nc_78944517/,ダイアパレス目黒本町,2026-01-05,4980万円,東京都目黒区目黒本町３-12-19,東急目黒線「武蔵小山」徒歩6分,40.04m2（壁芯）,2DK,5.33m2,1994年1月
/ms/chuko/tokyo/sc_meguro/nc_79129362/,ジェイパーク目黒,2026-01-05,5280万円,東京都目黒区目黒２,ＪＲ山手線「目黒」徒歩10分,31.72m2（壁芯）,1LDK,5.15m2,1996年10月
/ms/chuko/tokyo/sc_meguro/nc_79111127/,中目黒コーポラス,2026-01-05,5480万円,東京都目黒区上目黒３-17-22,東急東横線「中目黒」徒歩5分,50.22m2（15.19坪）,2LDK,-,1969年2月
/ms/chuko/tokyo/sc_meguro/nc_79091506/,学芸大ハイツ,2026-01-05,5480万円,東京都目黒区五本木３,東急東横線「学芸大学」徒歩5分,53.64m2（16.22坪）（壁芯）,2LDK,7.56m2,1971年11月
/ms/chuko/tokyo/sc_meguro/nc_79109062/,ミニカムマンション,2026-01-05,5499万円,東京都目黒区中根２-14-7,東急東横線「都立大学」徒歩5分,58.19m2（17.60坪）（壁芯）,2LDK,6.1m2,1968年12月
/ms/chuko/tokyo/sc_meguro/nc_78983009/,ザ・ランド代官山青葉台,2026-01-05,5699万円,東京都目黒区青葉台３,ＪＲ山手線「渋谷」徒歩15分,30.25m2（壁芯）,1DK,2.2m2,2003年3月
/ms/chuko/tokyo/sc_meguro/nc_78950844/,【今すぐ見たい　お任せください】 ザ・ランド代官山青…,2026-01-05,5699万円,東京都目黒区青葉台３,ＪＲ山手線「渋谷」徒歩15分,30.25m2（壁芯）,1DK,2.2m2,2003年3月
/ms/chuko/tokyo/sc_meguro/nc_79071227/,パシフィック自由が丘マンション,2026-01-05,5699万円,東京都目黒区自由が丘２,東急東横線「自由が丘」徒歩10分,47.41m2（壁芯）,1LDK,7.5m2,1971年11月
/ms/chuko/tokyo/sc_meguro/nc_77986588/,マンション西目黒苑,2026-01-05,5798万円,東京都目黒区目黒１,ＪＲ山手線「目黒」徒歩5分,52.84m2（壁芯）,2LDK,3m2,1972年2月
/ms/chuko/tokyo/sc_meguro/nc_78742146/,マンション西目黒苑,2026-01-05,5798万円,東京都目黒区目黒１,ＪＲ山手線「目黒」徒歩5分,52.84m2（15.98坪）,2LDK,3m2,1972年2月
/ms/chuko/tokyo/sc_meguro/nc_77949127/,【今すぐ見たい　お任せください】 マンション西目黒苑,2026-01-05,5798万円,東京都目黒区目黒１,ＪＲ山手線「目黒」徒歩5分,52.84m2（壁芯）,2LDK,3m2,1972年2月
/ms/chuko/tokyo/sc_meguro/nc_78067139/,セントラルシャトー,2026-01-05,5980万円,東京都目黒区中央町２,東急東横線「学芸大学」徒歩11分,63.21m2（壁芯）,3LDK,3m2,1979年8月
/ms/chuko/tokyo/sc_meguro/nc_78591645/,ジェイパーク中目黒ＩＶ,2026-01-05,5998万円,東京都目黒区中目黒２,東急東横線「中目黒」徒歩11分,33.01m2（壁芯）,1DK,4.67m2,2001年2月
/ms/chuko/tokyo/sc_meguro/nc_79037910/,秀和第二自由が丘レジデンス ３階角部屋,2026-01-05,6180万円,東京都目黒区中根１,東急東横線「都立大学」徒歩9分,69.32m2（壁芯）,1LDK+S（納戸）,-,1971年2月
/ms/chuko/tokyo/sc_meguro/nc_78894786/,キャッスル共進,2026-01-05,6480万円,東京都目黒区碑文谷２-２１－６,東急東横線「学芸大学」徒歩10分,64.56m2（19.52坪）（壁芯）,2LDK,-,1971年8月
/ms/chuko/tokyo/sc_meguro/nc_79082127/,ＮＫ渋谷コータース,2026-01-05,6490万円,東京都目黒区大橋２-4-8,東急田園都市線「池尻大橋」徒歩7分,52.77m2（15.96坪）（壁芯）,2LDK,8.26m2,1968年12月
/ms/chuko/tokyo/sc_meguro/nc_79087611/,ＮＫ渋谷コータース,2026-01-05,6490万円,東京都目黒区大橋２,東急田園都市線「池尻大橋」徒歩7分,52.77m2（壁芯）,2LDK,8.26m2,1968年12月
/ms/chuko/tokyo/sc_meguro/nc_78531830/,目黒コーポビアネーズ,2026-01-05,6680万円,東京都目黒区三田２,ＪＲ山手線「恵比寿」徒歩9分,56.07m2（16.96坪）（壁芯）,1LDK+S（納戸）,7.92m2,1970年1月
/ms/chuko/tokyo/sc_meguro/nc_79079675/,自由ケ丘アーバンライフ,2026-01-05,6980万円,東京都目黒区緑が丘２,東急東横線「自由が丘」徒歩6分,56.7m2（壁芯）,1LDK+S（納戸）,9.45m2,1973年2月
