link,物件名,date,販売価格,所在地,沿線・駅,専有面積,間取り,バルコニー,築年月
/ms/chuko/tokyo/sc_minato/nc_78860850/,ワールドシティタワーズ　アクアタワー,2026-01-05,2億4800万円,東京都港区港南４,ＪＲ山手線「品川」徒歩15分,87.45m2（壁芯）,2LDK,5.4m2,2005年10月
/ms/chuko/tokyo/sc_minato/nc_79012488/,赤坂グリーンハイツ,2026-01-05,3000万円,東京都港区赤坂２,東京メトロ千代田線「赤坂」徒歩6分,27.07m2（8.18坪）（壁芯）,1DK,5.33m2,1976年4月
/ms/chuko/tokyo/sc_minato/nc_79035388/,高輪マンション,2026-01-05,3698万円,東京都港区高輪２,都営浅草線「泉岳寺」徒歩2分,41.47m2（壁芯）,ワンルーム,28.69m2,1969年6月
/ms/chuko/tokyo/sc_minato/nc_79102323/,クイーンハイツ三田,2026-01-05,4250万円,東京都港区三田３-3-10,ＪＲ山手線「田町」徒歩8分,48.38m2（14.63坪）,2DK,-,1978年12月
/ms/chuko/tokyo/sc_minato/nc_78691888/,オリエント赤坂モートサイド,2026-01-05,4499万円,東京都港区元赤坂１,東京メトロ銀座線「赤坂見附」徒歩2分,28.08m2（壁芯）,1DK,-,1978年4月
/ms/chuko/tokyo/sc_minato/nc_78577339/,クレール芝,2026-01-05,4580万円,東京都港区芝４,都営三田線「三田」徒歩3分,36.61m2（壁芯）,1DK,4.37m2,1982年4月
/ms/chuko/tokyo/sc_minato/nc_78980547/,ルジェンテ白金台,2026-01-05,4880万円,東京都港区白金台２,都営浅草線「高輪台」徒歩5分,26.32m2,ワンルーム,3.25m2,2005年3月
/ms/chuko/tokyo/sc_minato/nc_78349722/,高輪台マンション,2026-01-05,4980万円,東京都港区高輪２-2-21,東京メトロ南北線「白金高輪」徒歩6分,42m2（12.70坪）（壁芯）,2DK,4.9m2,1968年5月
/ms/chuko/tokyo/sc_minato/nc_78861198/,【今すぐ見たい　お任せください】　クレール三田,2026-01-05,4980万円,東京都港区三田４,東京メトロ南北線「白金高輪」徒歩9分,43.31m2（壁芯）,2LDK,3.65m2,1978年10月
/ms/chuko/tokyo/sc_minato/nc_78922431/,三田マンション,2026-01-05,5480万円,東京都港区三田２,東京メトロ南北線「麻布十番」徒歩8分,40.5m2,1LDK,5m2,1970年11月
/ms/chuko/tokyo/sc_minato/nc_78930585/,ライオンズマンション赤坂第２,2026-01-05,5499万円,東京都港区赤坂４,東京メトロ銀座線「赤坂見附」徒歩4分,37.31m2（壁芯）,1LDK,3.69m2,1977年6月
/ms/chuko/tokyo/sc_minato/nc_78314950/,ライオンズマンション赤坂第2,2026-01-05,5499万円,東京都港区赤坂４,東京メトロ銀座線「赤坂見附」徒歩4分,37.31m2（壁芯）,1LDK,3.69m2,1977年6月
/ms/chuko/tokyo/sc_minato/nc_78601661/,【今すぐ見たい　お任せください】 ライオンズマンショ…,2026-01-05,5499万円,東京都港区赤坂４,東京メトロ丸ノ内線「赤坂見附」徒歩4分,37.31m2（壁芯）,1LDK,3.69m2,1977年6月
/ms/chuko/tokyo/sc_minato/nc_77550967/,ルシェール赤坂,2026-01-05,5500万円,東京都港区赤坂６,東京メトロ千代田線「赤坂」徒歩5分,31.52m2（壁芯）,1DK,4.12m2,1997年11月
/ms/chuko/tokyo/sc_minato/nc_77796896/,ルシェール赤坂,2026-01-05,5500万円,東京都港区赤坂６-12-12,東京メトロ千代田線「赤坂」徒歩6分,31.52m2（9.53坪）（壁芯）,1DK,4.12m2,1997年12月
/ms/chuko/tokyo/sc_minato/nc_78817160/,菱和パレス西麻布,2026-01-05,5899万円,東京都港区西麻布４-2-6,東京メトロ日比谷線「広尾」徒歩8分,30.8m2（9.31坪）（壁芯）,1LDK,2.4m2,1999年4月
/ms/chuko/tokyo/sc_minato/nc_78944986/,チサンマンション南麻布,2026-01-05,5990万円,東京都港区南麻布２,東京メトロ南北線「白金高輪」徒歩9分,47.99m2（壁芯）,2DK,12.94m2,1978年11月
/ms/chuko/tokyo/sc_minato/nc_78794524/,麻布プレイス,2026-01-05,5999万円,東京都港区麻布十番２,東京メトロ南北線「麻布十番」徒歩2分,37.84m2（11.44坪）（壁芯）,1LDK,2.64m2,1977年12月
/ms/chuko/tokyo/sc_minato/nc_78163378/,エスポワール麻布,2026-01-05,6180万円,東京都港区麻布十番１,都営大江戸線「麻布十番」徒歩1分,38.19m2（壁芯）,1LDK,2.92m2,1982年4月
/ms/chuko/tokyo/sc_minato/nc_78976938/,秀和高輪レジデンス,2026-01-05,6198万円,東京都港区高輪２,都営浅草線「泉岳寺」徒歩4分,51.75m2（壁芯）,1LDK,4.03m2,1970年5月
/ms/chuko/tokyo/sc_minato/nc_78020431/,フリーディオ西麻布,2026-01-05,6280万円,東京都港区西麻布４,東京メトロ日比谷線「広尾」徒歩7分,31.93m2（壁芯）,ワンルーム,5.15m2,1999年11月
/ms/chuko/tokyo/sc_minato/nc_78796031/,秀和麻布笄町レジデンス,2026-01-05,6299万円,東京都港区西麻布２,東京メトロ日比谷線「六本木」徒歩11分,41.35m2（12.50坪）（壁芯）,1LDK,5.3m2,1970年10月
/ms/chuko/tokyo/sc_minato/nc_78759916/,【今すぐ見たい　お任せください】 秀和麻布笄町レジデ…,2026-01-05,6299万円,東京都港区西麻布２,東京メトロ日比谷線「六本木」徒歩11分,41.35m2（壁芯）,1LDK,5.3m2,1970年10月
/ms/chuko/tokyo/sc_minato/nc_79065371/,日興パレス南麻布第２,2026-01-05,6380万円,東京都港区南麻布２,東京メトロ南北線「麻布十番」徒歩9分,39.06m2（壁芯）,1LDK,5.4m2,1979年8月
/ms/chuko/tokyo/sc_minato/nc_78743915/,【今すぐ見たい　お任せください】 麻布狸穴ナショナル…,2026-01-05,6480万円,東京都港区東麻布２,東京メトロ南北線「麻布十番」徒歩5分,44.21m2（壁芯）,2DK,5.57m2,1976年3月
/ms/chuko/tokyo/sc_minato/nc_78956114/,三田ハイデンス,2026-01-05,6499万円,東京都港区芝４,都営浅草線「三田」徒歩3分,40.17m2（壁芯）,1LDK,4.38m2,1980年11月
/ms/chuko/tokyo/sc_minato/nc_78680690/,菱和パレス西麻布,2026-01-05,6599万円,東京都港区西麻布４,東京メトロ日比谷線「広尾」徒歩8分,38.66m2（11.69坪）,1LDK,2.4m2,1999年4月
