link,物件名,date,販売価格,所在地,沿線・駅,専有面積,間取り,バルコニー,築年月
/ms/chuko/tokyo/sc_nakano/nc_79062478/,三田江古田第３コーポ,2026-01-05,1380万円,東京都中野区江原町３-28-9,都営大江戸線「新江古田」徒歩4分,30.26m2（9.15坪）（壁芯）,1DK,4.49m2,1972年5月
/ms/chuko/tokyo/sc_nakano/nc_78328315/,三田沼袋コーポ,2026-01-05,1680万円,東京都中野区沼袋３-23-2,西武新宿線「沼袋」徒歩5分,37.57m2（11.36坪）（壁芯）,2DK,2.29m2,1969年10月
/ms/chuko/tokyo/sc_nakano/nc_79112231/,マンションヴィップ中野坂上,2026-01-05,2880万円,東京都中野区中央１-43-15,東京メトロ丸ノ内線「中野坂上」徒歩3分,31.81m2（9.62坪）（壁芯）,1DK,4.82m2,1972年3月
/ms/chuko/tokyo/sc_nakano/nc_78479130/,グリーンコーポ東中野,2026-01-05,3480万円,東京都中野区東中野２,都営大江戸線「中野坂上」徒歩6分,43.18m2（13.06坪）（壁芯）,1LDK,3.13m2,1970年12月
/ms/chuko/tokyo/sc_nakano/nc_78893573/,ヴィラロイヤル東中野,2026-01-05,4180万円,東京都中野区東中野５,ＪＲ中央線「東中野」徒歩7分,62.94m2（壁芯）,2LDK,15.56m2,1969年6月
/ms/chuko/tokyo/sc_nakano/nc_79109060/,山手ビル,2026-01-05,4299万円,東京都中野区東中野４-6-5,ＪＲ中央線「東中野」徒歩3分,37.97m2（11.48坪）（壁芯）,1LDK,6.91m2,1978年9月
/ms/chuko/tokyo/sc_nakano/nc_79128081/,山手ビル,2026-01-05,4299万円,東京都中野区東中野４,ＪＲ総武線「東中野」徒歩3分,37.97m2（11.48坪）（壁芯）,1LDK,6.91m2,1978年9月
/ms/chuko/tokyo/sc_nakano/nc_78466125/,アーバイル落合ツインドレスレジスタ,2026-01-05,4480万円,東京都中野区上高田４,東京メトロ東西線「落合」徒歩8分,42.2m2（壁芯）,2DK,-,2005年6月
/ms/chuko/tokyo/sc_nakano/nc_77688242/,ハイネス中野,2026-01-05,4580万円,東京都中野区中央５,ＪＲ中央線「中野」徒歩7分,42.75m2（壁芯）,1LDK,9.19m2,1977年5月
/ms/chuko/tokyo/sc_nakano/nc_78946724/,シティハイムコスモ,2026-01-05,4599万円,東京都中野区本町１,東京メトロ丸ノ内線「中野坂上」徒歩3分,49.98m2（15.11坪）（壁芯）,1LDK+S（納戸）,3.11m2,1974年11月
/ms/chuko/tokyo/sc_nakano/nc_78128628/,中野プリンスマンション,2026-01-05,4690万円,東京都中野区中野５-49-8,ＪＲ中央線「中野」徒歩7分,42.33m2（12.80坪）（壁芯）,1LDK,5.74m2,1984年5月
/ms/chuko/tokyo/sc_nakano/nc_78825873/,グローベル　ザ・シーズン鷺ノ宮パークス,2026-01-05,4980万円,東京都中野区白鷺１-１２－４,西武新宿線「鷺ノ宮」徒歩8分,47.45m2（壁芯）,2LDK,12.57m2,2012年2月
/ms/chuko/tokyo/sc_nakano/nc_79077759/,ライオンズマンション中野弥生町,2026-01-05,4990万円,東京都中野区弥生町１-12-7,東京メトロ丸ノ内線「中野坂上」徒歩10分,50.92m2（15.40坪）（壁芯）,2LDK,4.09m2,1981年10月
/ms/chuko/tokyo/sc_nakano/nc_78171169/,ビアンヌール白鷺,2026-01-05,5580万円,東京都中野区白鷺３,西武新宿線「下井草」徒歩7分,97.99m2（壁芯）,4LDK,3.05m2,1998年3月
/ms/chuko/tokyo/sc_nakano/nc_78901427/,アンサンブル新中野,2026-01-05,5780万円,東京都中野区本町４,東京メトロ丸ノ内線「新中野」徒歩3分,50.76m2（壁芯）,1LDK,7.93m2,1992年5月
/ms/chuko/tokyo/sc_nakano/nc_78689994/,エルベT・M東中野,2026-01-05,5980万円,東京都中野区東中野５-23-10,東京メトロ東西線「落合」徒歩6分,55.7m2（16.84坪）（壁芯）,2LDK,5.71m2,1995年2月
/ms/chuko/tokyo/sc_nakano/nc_79040298/,ナイスアーバン中野方南町,2026-01-05,5999万円,東京都中野区南台５-13-20,東京メトロ丸ノ内線「方南町」徒歩8分,57.21m2（壁芯）,2LDK,4.15m2,1990年9月
/ms/chuko/tokyo/sc_nakano/nc_79132768/,グローリオ新中野ブランデコ,2026-01-05,6380万円,東京都中野区本町６-1-11,東京メトロ丸ノ内線「新中野」徒歩5分,46.71m2（壁芯）,1LDK,15.38m2,2005年9月
/ms/chuko/tokyo/sc_nakano/nc_78968226/,グローリオ新中野ブランデコ,2026-01-05,6380万円,東京都中野区本町６,東京メトロ丸ノ内線「新中野」徒歩5分,46.71m2（壁芯）,1LDK,15.38m2,2005年9月
