link,物件名,date,販売価格,所在地,沿線・駅,専有面積,間取り,バルコニー,築年月
/ms/chuko/tokyo/sc_nerima/nc_79127288/,大泉学園コーポラス,2026-01-05,1780万円,東京都練馬区東大泉１,西武池袋線「大泉学園」徒歩5分,34.02m2（壁芯）,1LDK,7.02m2,1970年4月
/ms/chuko/tokyo/sc_nerima/nc_79073711/,谷原ハイツ,2026-01-05,1880万円,東京都練馬区谷原５,西武池袋線「石神井公園」徒歩18分,36.4m2（登記）,1LDK,5.4m2,1976年8月
/ms/chuko/tokyo/sc_nerima/nc_77672802/,富士見台マンション,2026-01-05,1980万円,東京都練馬区貫井３-14-12,西武池袋線「富士見台」徒歩2分,38.98m2（11.79坪）（登記）,1LDK,6.75m2,1968年6月
/ms/chuko/tokyo/sc_nerima/nc_77855556/,オリエンタルグリーンコーポラス,2026-01-05,2390万円,東京都練馬区中村北１-11-1,西武池袋線「練馬」徒歩6分,58.44m2（17.67坪）（壁芯）,2LDK,8.64m2,1969年8月
/ms/chuko/tokyo/sc_nerima/nc_79111143/,成増シティハウス,2026-01-05,2398万円,東京都練馬区旭町３-17-14,東京メトロ有楽町線「地下鉄成増」徒歩6分,53.83m2（16.28坪）,2LDK,9.07m2,1982年8月
/ms/chuko/tokyo/sc_nerima/nc_78880031/,成増シティハウス,2026-01-05,2398万円,東京都練馬区旭町３-１７－１４,東京メトロ副都心線「地下鉄成増」徒歩6分,53.83m2（16.28坪）,2LDK,9.07m2,1982年8月
/ms/chuko/tokyo/sc_nerima/nc_77967150/,チェリー豊玉コーポ,2026-01-05,2500万円,東京都練馬区豊玉北３,西武池袋線「桜台」徒歩11分,46.6m2（壁芯）,1LDK,5.69m2,1974年9月
/ms/chuko/tokyo/sc_nerima/nc_79111976/,江古田第３ローヤルコーポ,2026-01-05,2580万円,東京都練馬区豊玉北１-13-6,都営大江戸線「新江古田」徒歩3分,39.38m2（11.91坪）,2K,6.15m2,1977年11月
/ms/chuko/tokyo/sc_nerima/nc_78737371/,【駅徒歩3分】ステージグランデ大泉学園,2026-01-05,2780万円,東京都練馬区東大泉１,西武池袋線「大泉学園」徒歩3分,23.4m2（壁芯）,1K,3.3m2,2007年6月
/ms/chuko/tokyo/sc_nerima/nc_78582041/,第２桜台ファミリーマンション　S棟,2026-01-05,2880万円,東京都練馬区桜台４-1-6,西武池袋線「桜台」徒歩2分,39.62m2（11.98坪）（壁芯）,1DK+S（納戸）,5.51m2,1981年9月
/ms/chuko/tokyo/sc_nerima/nc_78818245/,キャニオンコープ石神井公園,2026-01-05,2980万円,東京都練馬区谷原６,西武池袋線「石神井公園」徒歩19分,53.36m2（壁芯）,3DK,3.06m2,1992年6月
/ms/chuko/tokyo/sc_nerima/nc_78565408/,豊玉チェリーB棟,2026-01-05,3080万円,東京都練馬区豊玉北２,都営大江戸線「新江古田」徒歩5分,60.34m2,3DK,-,1982年3月
/ms/chuko/tokyo/sc_nerima/nc_79071565/,メゾン・ナチュール,2026-01-05,3090万円,東京都練馬区南田中５-3-20,西武池袋線「練馬高野台」徒歩6分,37.89m2（11.46坪）（壁芯）,1LDK,3.74m2,1991年4月
/ms/chuko/tokyo/sc_nerima/nc_78381724/,豊玉南住宅,2026-01-05,3099万円,東京都練馬区豊玉南３,西武新宿線「野方」徒歩12分,52.2m2（壁芯）,2LDK,1m2,1972年11月
/ms/chuko/tokyo/sc_nerima/nc_76244339/,豊玉南住宅,2026-01-05,3200万円,東京都練馬区豊玉南３,西武新宿線「野方」徒歩12分,52.2m2（15.79坪）（壁芯）,2LDK,3.5m2,1972年11月
/ms/chuko/tokyo/sc_nerima/nc_78506828/,ヴェラハイツ石神井台,2026-01-05,3230万円,東京都練馬区石神井台６-１－４３,西武池袋線「大泉学園」徒歩15分,69.64m2（21.06坪）（壁芯）,3LDK,7.42m2,1983年7月
/ms/chuko/tokyo/sc_nerima/nc_78657691/,パレ豊玉,2026-01-05,3280万円,東京都練馬区豊玉北１,都営大江戸線「新江古田」徒歩2分,47.73m2（壁芯）,2LDK,5.98m2,1980年11月
/ms/chuko/tokyo/sc_nerima/nc_78423174/,武蔵関シティハウス,2026-01-05,3290万円,東京都練馬区関町南４-14-32,西武新宿線「武蔵関」徒歩10分,47.44m2（14.35坪）（壁芯）,1LDK,7.47m2,1991年12月
/ms/chuko/tokyo/sc_nerima/nc_78778648/,イトーピア豊玉マンション,2026-01-05,3380万円,東京都練馬区豊玉上２,西武池袋線「桜台」徒歩5分,44.55m2（壁芯）,1LDK,5.4m2,1976年5月
/ms/chuko/tokyo/sc_nerima/nc_79046921/,ライオンズマンション石神井公園,2026-01-05,3380万円,東京都練馬区石神井町３-25-21,西武池袋線「石神井公園」徒歩1分,44.69m2（壁芯）,2DK,5.28m2,1981年4月
/ms/chuko/tokyo/sc_nerima/nc_78811316/,ライオンズマンション中村橋駅前,2026-01-05,3480万円,東京都練馬区中村北４,西武池袋線「中村橋」徒歩2分,40.23m2（壁芯）,1LDK,5.44m2,1987年12月
/ms/chuko/tokyo/sc_nerima/nc_79085701/,オリエンタルグリーンコーポラス,2026-01-05,3490万円,東京都練馬区中村北１,西武池袋線「練馬」徒歩6分,51.03m2（15.43坪）（壁芯）,2LDK,6.48m2,1969年8月
/ms/chuko/tokyo/sc_nerima/nc_78693603/,ライオンズマンション桜台,2026-01-05,3500万円,東京都練馬区豊玉上２,西武池袋線「桜台」徒歩3分,50.6m2（壁芯）,2LDK,-,1982年1月
/ms/chuko/tokyo/sc_nerima/nc_77734282/,豊玉南住宅,2026-01-05,3690万円,東京都練馬区豊玉南３,西武池袋線「練馬」徒歩14分,59.22m2（17.91坪）（壁芯）,2LDK,3.51m2,1972年11月
/ms/chuko/tokyo/sc_nerima/nc_79133521/,ヴェルティ石神井公園,2026-01-05,3750万円,東京都練馬区石神井台２,西武新宿線「上石神井」徒歩15分,62.63m2（壁芯）,3LDK,5.7m2,1994年6月
