link,物件名,date,販売価格,所在地,沿線・駅,専有面積,間取り,バルコニー,築年月
/ms/chuko/tokyo/sc_ota/nc_78327812/,西馬込ダイヤモンドマンション,2026-01-05,1780万円,東京都大田区南馬込５-20-10,都営浅草線「西馬込」徒歩5分,24.32m2（7.35坪）（壁芯）,1K,3.1m2,1972年5月
/ms/chuko/tokyo/sc_ota/nc_77482867/,東糀谷ローヤルコーポ,2026-01-05,2200万円,東京都大田区東糀谷３,京急空港線「大鳥居」徒歩4分,41.24m2（壁芯）,1LDK,8.34m2,1982年1月
/ms/chuko/tokyo/sc_ota/nc_79132770/,シャンボール第２大森,2026-01-05,2280万円,東京都大田区大森北３-9-12,京急本線「大森海岸」徒歩7分,29.68m2（壁芯）,1LDK,4.73m2,1973年5月
/ms/chuko/tokyo/sc_ota/nc_78674406/,ニュー千鳥町マンション,2026-01-05,2280万円,東京都大田区千鳥１-25-5,東急池上線「千鳥町」徒歩3分,41.31m2（壁芯）,1LDK,-,1972年8月
/ms/chuko/tokyo/sc_ota/nc_79061758/,スターハイツ洗足池,2026-01-05,2490万円,東京都大田区上池台３-38-4,東急池上線「洗足池」徒歩7分,40m2（壁芯）,1LDK,8.8m2,1984年2月
/ms/chuko/tokyo/sc_ota/nc_79111159/,伊川ビル山王マンション,2026-01-05,2700万円,東京都大田区山王２-5-3,ＪＲ京浜東北線「大森」徒歩4分,62.27m2（18.83坪）,2DK,-,1967年9月
/ms/chuko/tokyo/sc_ota/nc_79121276/,シャンボール田園調布,2026-01-05,2998万円,東京都大田区田園調布本町,東急池上線「雪が谷大塚」徒歩8分,34.16m2（10.33坪）（壁芯）,1LDK,5.94m2,1971年5月
/ms/chuko/tokyo/sc_ota/nc_79080414/,エンゼルハイム多摩川,2026-01-05,3190万円,東京都大田区多摩川１,東急多摩川線「矢口渡」徒歩4分,46.01m2（壁芯）,1LDK+S（納戸）,3m2,1980年10月
/ms/chuko/tokyo/sc_ota/nc_78501229/,【今すぐ見たい　お任せください】 エンゼルハイム多摩…,2026-01-05,3199万円,東京都大田区多摩川１,東急多摩川線「矢口渡」徒歩3分,46.01m2（壁芯）,2LDK,3m2,1980年10月
/ms/chuko/tokyo/sc_ota/nc_79085657/,矢口myコーポ,2026-01-05,3280万円,東京都大田区矢口３,東急多摩川線「武蔵新田」徒歩12分,62.3m2（18.84坪）（壁芯）,3LDK,11.14m2,1980年12月
/ms/chuko/tokyo/sc_ota/nc_79068204/,矢口ｍｙコーポ（武蔵新田）,2026-01-05,3280万円,東京都大田区矢口３-30-1,東急多摩川線「武蔵新田」徒歩12分,62.3m2（18.84坪）（壁芯）,3LDK,11.14m2,1980年12月
/ms/chuko/tokyo/sc_ota/nc_78127185/,エイト大森ハイツ,2026-01-05,3280万円,東京都大田区大森本町１,京急本線「大森海岸」徒歩3分,49.2m2（壁芯）,1LDK,10.39m2,1978年8月
/ms/chuko/tokyo/sc_ota/nc_78889854/,マンション池上,2026-01-05,3380万円,東京都大田区中央８,東急池上線「池上」徒歩9分,46.17m2（13.96坪）（壁芯）,1LDK,8.04m2,1970年11月
/ms/chuko/tokyo/sc_ota/nc_78882446/,マンション池上,2026-01-05,3380万円,東京都大田区中央８,東急池上線「池上」徒歩11分,46.17m2（壁芯）,1LDK,8.04m2,1970年11月
/ms/chuko/tokyo/sc_ota/nc_78853751/,マンション池上,2026-01-05,3380万円,東京都大田区中央８,東急池上線「池上」徒歩9分,46.17m2（壁芯）,1LDK,8.04m2,1970年11月
/ms/chuko/tokyo/sc_ota/nc_78935264/,山王スカイマンション,2026-01-05,3480万円,東京都大田区山王３-9-6,ＪＲ京浜東北線「大森」徒歩10分,58.85m2（17.80坪）,2LDK,-,1970年10月
/ms/chuko/tokyo/sc_ota/nc_78794142/,中銀田園調布マンシオン,2026-01-05,3480万円,東京都大田区田園調布南,東急多摩川線「沼部」徒歩6分,50.05m2（15.14坪）（壁芯）,2LDK,7.05m2,1972年4月
/ms/chuko/tokyo/sc_ota/nc_78873881/,大森ハウス,2026-01-05,3480万円,東京都大田区大森北１,ＪＲ京浜東北線「大森」徒歩2分,41.61m2（壁芯）,1LDK,7.32m2,1982年4月
/ms/chuko/tokyo/sc_ota/nc_79111206/,コスモ上池台,2026-01-05,3480万円,東京都大田区上池台５-29-21,都営浅草線「西馬込」徒歩10分,83.46m2（25.24坪）,3LDK,11.59m2,1985年9月
/ms/chuko/tokyo/sc_ota/nc_78154548/,グローリア初穂久が原,2026-01-05,3480万円,東京都大田区久が原２,都営浅草線「西馬込」徒歩11分,40m2（壁芯）,2DK,5.8m2,1986年2月
/ms/chuko/tokyo/sc_ota/nc_78800908/,ル・シック大森南,2026-01-05,3599万円,東京都大田区大森南１,京急空港線「大鳥居」徒歩15分,52.02m2（15.73坪）（壁芯）,2LDK,5.4m2,1987年11月
/ms/chuko/tokyo/sc_ota/nc_78873138/,グランイーグル大森南Ⅱ,2026-01-05,3600万円,東京都大田区大森南２,東京モノレール「昭和島」徒歩18分,50.07m2（壁芯）,2DK,10.3m2,1994年11月
/ms/chuko/tokyo/sc_ota/nc_78794229/,ジュネス大森中央,2026-01-05,3680万円,東京都大田区中央２,京急本線「大森町」徒歩13分,60.57m2（18.32坪）（壁芯）,3LDK,-,1980年12月
/ms/chuko/tokyo/sc_ota/nc_79002118/,ジュネス大森中央,2026-01-05,3680万円,東京都大田区中央２,ＪＲ京浜東北線「大森」バス6分停歩3分,60.57m2（壁芯）,3LDK,-,1980年12月
/ms/chuko/tokyo/sc_ota/nc_78831994/,ライオンズマンション池上第２,2026-01-05,3680万円,東京都大田区池上８,東急多摩川線「矢口渡」徒歩8分,50.76m2（壁芯）,2LDK,5.51m2,1982年11月
/ms/chuko/tokyo/sc_ota/nc_78059762/,エルアルカサル山王,2026-01-05,3780万円,東京都大田区山王１-8-3,ＪＲ京浜東北線「大森」徒歩3分,40.05m2（12.11坪）（壁芯）,1LDK,2.24m2,1977年12月
/ms/chuko/tokyo/sc_ota/nc_78679334/,マンションニュー池上,2026-01-05,3780万円,東京都大田区池上３-37-6,東急池上線「池上」徒歩7分,48.6m2（壁芯）,2LDK,7.54m2,1973年4月
/ms/chuko/tokyo/sc_ota/nc_78801123/,ソフトタウン大森,2026-01-05,3800万円,東京都大田区大森北３,京急本線「平和島」徒歩5分,54m2（壁芯）,2LDK,-,1984年8月
/ms/chuko/tokyo/sc_ota/nc_78804355/,ペアパレス上池台No2,2026-01-05,3880万円,東京都大田区上池台５,東急池上線「長原」徒歩10分,41.38m2（壁芯）,1LDK,5.3m2,1984年4月
/ms/chuko/tokyo/sc_ota/nc_78939471/,ニックハイム京浜蒲田,2026-01-05,3890万円,東京都大田区南蒲田１,京急本線「京急蒲田」徒歩3分,49.92m2（壁芯）,2LDK,5.72m2,1973年10月
/ms/chuko/tokyo/sc_ota/nc_78944819/,仲六郷ハウス,2026-01-05,3980万円,東京都大田区仲六郷１,京急本線「雑色」徒歩10分,45.86m2（13.87坪）（壁芯）,1LDK,8.4m2,1982年2月
