link,物件名,date,販売価格,所在地,沿線・駅,専有面積,間取り,バルコニー,築年月
/ms/chuko/tokyo/sc_setagaya/nc_77548127/,祖師谷ヒミコマンション,2026-01-05,2280万円,東京都世田谷区上祖師谷５,京王線「仙川」徒歩18分,48.06m2（壁芯）,2LDK,4.85m2,1976年3月
/ms/chuko/tokyo/sc_setagaya/nc_76356651/,梅丘アイワマンション,2026-01-05,2500万円,東京都世田谷区松原６,小田急線「梅ヶ丘」徒歩2分,31.88m2（登記）,1LDK,-,1970年5月
/ms/chuko/tokyo/sc_setagaya/nc_77359362/,梅丘アイワマンション,2026-01-05,2500万円,東京都世田谷区松原６-4-5,小田急線「梅ヶ丘」徒歩2分,34.54m2（10.44坪）（壁芯）,1LDK,5.91m2,1970年5月
/ms/chuko/tokyo/sc_setagaya/nc_78992261/,自由が丘第三コーポ,2026-01-05,2580万円,東京都世田谷区奥沢５,東急東横線「自由が丘」徒歩5分,28.83m2（壁芯）,1DK,-,1966年1月
/ms/chuko/tokyo/sc_setagaya/nc_79110531/,砧グリーンハイム,2026-01-05,2680万円,東京都世田谷区砧４-15-20,小田急線「祖師ヶ谷大蔵」徒歩12分,40.29m2（12.18坪）,1LDK,4.89m2,1975年6月
/ms/chuko/tokyo/sc_setagaya/nc_78801284/,メゾン烏山,2026-01-05,2780万円,東京都世田谷区北烏山３,京王線「千歳烏山」徒歩11分,54.38m2（16.44坪）（壁芯）,2LDK+S（納戸）,4m2,1979年2月
/ms/chuko/tokyo/sc_setagaya/nc_79101571/,成城マンション,2026-01-05,2880万円,東京都世田谷区成城１-9-1,小田急線「成城学園前」徒歩10分,57.54m2（17.40坪）,1LDK,-,1968年11月
/ms/chuko/tokyo/sc_setagaya/nc_78703343/,シャロン・ド・成城,2026-01-05,3180万円,東京都世田谷区砧４,小田急線「祖師ヶ谷大蔵」徒歩9分,52.75m2（15.95坪）（壁芯）,3LDK,-,1979年2月
/ms/chuko/tokyo/sc_setagaya/nc_79101677/,シャロン・ド・成城,2026-01-05,3180万円,東京都世田谷区砧４-11-10,小田急線「祖師ヶ谷大蔵」徒歩8分,52.75m2（15.95坪）,3LDK,8.75m2,1979年2月
/ms/chuko/tokyo/sc_setagaya/nc_78796349/,エスカイア等々力,2026-01-05,3380万円,東京都世田谷区等々力８,東急大井町線「等々力」徒歩13分,37.04m2（11.20坪）（壁芯）,1LDK,4.86m2,1984年3月
/ms/chuko/tokyo/sc_setagaya/nc_78482932/,ドミール烏山,2026-01-05,3599万円,東京都世田谷区南烏山６-19-18,京王線「千歳烏山」徒歩7分,50.58m2（壁芯）,2LDK,18.24m2,1976年3月
/ms/chuko/tokyo/sc_setagaya/nc_79111971/,ＮＩＣハイム砧,2026-01-05,3650万円,東京都世田谷区砧１-10-4,小田急線「祖師ヶ谷大蔵」徒歩18分,59.89m2（18.11坪）（壁芯）,2LDK,12.4m2,1973年9月
/ms/chuko/tokyo/sc_setagaya/nc_79083114/,【今すぐ見たい　お任せください】　ＮＩＣハイム砧,2026-01-05,3650万円,東京都世田谷区砧１,小田急線「祖師ヶ谷大蔵」徒歩18分,59.89m2（壁芯）,2LDK,12.4m2,1973年9月
/ms/chuko/tokyo/sc_setagaya/nc_79011868/,ニックハイム砧,2026-01-05,3650万円,東京都世田谷区砧１,小田急線「祖師ヶ谷大蔵」徒歩18分,59.89m2（壁芯）,2LDK,12.4m2,1973年9月
/ms/chuko/tokyo/sc_setagaya/nc_78921807/,グレイス二子玉川,2026-01-05,3780万円,東京都世田谷区鎌田２,東急田園都市線「二子玉川」バス7分停歩4分,49.68m2（15.02坪）,2LDK,5.94m2,1985年1月
/ms/chuko/tokyo/sc_setagaya/nc_78964997/,アルテシモアスタ,2026-01-05,3820万円,東京都世田谷区駒沢５,東急田園都市線「駒沢大学」徒歩14分,26.12m2（壁芯）,1K,3.04m2,2016年3月
/ms/chuko/tokyo/sc_setagaya/nc_79111133/,グリーンキャピタル上野毛第２,2026-01-05,3880万円,東京都世田谷区上野毛２-21-6,東急大井町線「上野毛」徒歩9分,51.59m2（15.60坪）,3DK,7.4m2,1984年4月
/ms/chuko/tokyo/sc_setagaya/nc_78922474/,三軒茶屋サンハイツ,2026-01-05,3980万円,東京都世田谷区三軒茶屋２,東急田園都市線「三軒茶屋」徒歩10分,38.85m2（壁芯）,ワンルーム,4.01m2,1978年5月
/ms/chuko/tokyo/sc_setagaya/nc_79052391/,セボンヴェルディア二子玉川,2026-01-05,3980万円,東京都世田谷区鎌田４,東急田園都市線「二子玉川」バス13分停歩6分,65.25m2（壁芯）,2LDK,4.35m2,2004年4月
