link,物件名,date,販売価格,所在地,沿線・駅,専有面積,間取り,バルコニー,築年月
/ms/chuko/tokyo/sc_shibuya/nc_78934140/,笹塚富士マンション,2026-01-05,2398万円,東京都渋谷区笹塚３,京王線「笹塚」徒歩7分,28.3m2（壁芯）,1DK,3.06m2,1972年3月
/ms/chuko/tokyo/sc_shibuya/nc_78872488/,笹塚ダイヤモンドマンション,2026-01-05,3080万円,東京都渋谷区笹塚２-25-1,京王線「笹塚」徒歩6分,35m2（10.58坪）（壁芯）,ワンルーム,5m2,1979年4月
/ms/chuko/tokyo/sc_shibuya/nc_78668405/,リフォーム完成×駅徒歩4分・ルーフ付き【笹塚ダイヤモ…,2026-01-05,3280万円,東京都渋谷区笹塚２,京王線「笹塚」徒歩4分,24.5m2（壁芯）,1DK,5m2,1979年4月
/ms/chuko/tokyo/sc_shibuya/nc_78316893/,笹塚ダイヤモンドマンション,2026-01-05,3280万円,東京都渋谷区笹塚２-25-1,京王線「笹塚」徒歩4分,24.5m2（7.41坪）（壁芯）,1DK,5m2,1979年4月
/ms/chuko/tokyo/sc_shibuya/nc_77409173/,サンピア幡ヶ谷公園,2026-01-05,3780万円,東京都渋谷区幡ヶ谷３,京王新線「幡ヶ谷」徒歩8分,39.91m2（壁芯）,2DK,-,1989年11月
/ms/chuko/tokyo/sc_shibuya/nc_78099219/,サンピア幡ケ谷公園,2026-01-05,3780万円,東京都渋谷区幡ヶ谷３-39-4,京王新線「幡ヶ谷」徒歩8分,39.91m2（12.07坪）（壁芯）,2DK,-,1989年11月
/ms/chuko/tokyo/sc_shibuya/nc_78817776/,アクシア千駄ケ谷,2026-01-05,4180万円,東京都渋谷区千駄ヶ谷１-５－２,ＪＲ中央線「千駄ケ谷」徒歩5分,28.69m2（壁芯）,1K,4.94m2,2003年9月
/ms/chuko/tokyo/sc_shibuya/nc_79111138/,日興パレス恵比寿,2026-01-05,4280万円,東京都渋谷区恵比寿２-28-15,ＪＲ山手線「恵比寿」徒歩12分,52.59m2（15.90坪）,1LDK,-,1979年5月
/ms/chuko/tokyo/sc_shibuya/nc_78753372/,日興パレス恵比寿,2026-01-05,4280万円,東京都渋谷区恵比寿２,ＪＲ山手線「恵比寿」徒歩12分,52.59m2（15.90坪）（壁芯）,1LDK,-,1979年5月
/ms/chuko/tokyo/sc_shibuya/nc_78617218/,代々木スカイハイツ,2026-01-05,4980万円,東京都渋谷区代々木４,小田急線「参宮橋」徒歩5分,37.5m2（壁芯）,1DK,7.92m2,1974年10月
/ms/chuko/tokyo/sc_shibuya/nc_78768174/,代々木スカイハイツ,2026-01-05,4980万円,東京都渋谷区代々木４-23-5,小田急線「参宮橋」徒歩5分,37.5m2（11.34坪）（壁芯）,1LDK,7.92m2,1974年10月
/ms/chuko/tokyo/sc_shibuya/nc_78457587/,代々木スカイハイツ,2026-01-05,4980万円,東京都渋谷区代々木４,小田急線「参宮橋」徒歩5分,37.5m2（11.34坪）（壁芯）,1LDK,7.92m2,1974年10月
