link,物件名,date,販売価格,所在地,沿線・駅,専有面積,間取り,バルコニー,築年月
/ms/chuko/tokyo/sc_shinagawa/nc_78838594/,五反田コーポビアネーズ,2026-01-05,2380万円,東京都品川区西五反田８-12-5,ＪＲ山手線「五反田」徒歩12分,27.44m2（壁芯）,1K,-,1974年10月
/ms/chuko/tokyo/sc_shinagawa/nc_79103400/,五反田永谷タウンプラザ,2026-01-05,2599万円,東京都品川区西五反田２-31-11,ＪＲ山手線「五反田」徒歩6分,38.88m2（11.76坪）,1LDK,4.97m2,1979年11月
/ms/chuko/tokyo/sc_shinagawa/nc_78756398/,五反田永谷タウンプラザ,2026-01-05,2599万円,東京都品川区西五反田２-31-11,ＪＲ山手線「五反田」徒歩6分,35.16m2（壁芯）,1LDK,4.97m2,1979年11月
/ms/chuko/tokyo/sc_shinagawa/nc_78309826/,西五反田コープ,2026-01-05,2680万円,東京都品川区西五反田２-15-2,ＪＲ山手線「五反田」徒歩4分,26.35m2（壁芯）,1DK,2.34m2,1979年5月
/ms/chuko/tokyo/sc_shinagawa/nc_78756074/,桔梗ハイツ西五反田,2026-01-05,2999万円,東京都品川区西五反田２-26-4,ＪＲ山手線「五反田」徒歩4分,37.87m2（11.45坪）（壁芯）,1LDK,21.12m2,1979年12月
/ms/chuko/tokyo/sc_shinagawa/nc_79111587/,セブンスターマンション第５五反田,2026-01-05,2999万円,東京都品川区西五反田２-31-5,ＪＲ山手線「五反田」徒歩5分,39.36m2（11.90坪）（壁芯）,1LDK,3.32m2,1981年4月
/ms/chuko/tokyo/sc_shinagawa/nc_79096503/,桔梗ハイツ西五反田,2026-01-05,2999万円,東京都品川区西五反田２,ＪＲ山手線「五反田」徒歩4分,37.87m2（壁芯）,1LDK,21.12m2,1979年12月
/ms/chuko/tokyo/sc_shinagawa/nc_78794424/,桔梗ハイツ西五反田,2026-01-05,3199万円,東京都品川区西五反田２,ＪＲ山手線「五反田」徒歩4分,37.87m2（11.45坪）（壁芯）,1LDK,21.12m2,1979年12月
/ms/chuko/tokyo/sc_shinagawa/nc_78794276/,マイキャッスル南大井,2026-01-05,3980万円,東京都品川区南大井１,京急本線「立会川」徒歩4分,60.69m2（18.35坪）（壁芯）,2LDK,14.71m2,1974年8月
/ms/chuko/tokyo/sc_shinagawa/nc_78105181/,潮路東ハイツ５４号棟,2026-01-05,3980万円,東京都品川区八潮５-10-54,東京モノレール「大井競馬場前」徒歩12分,63.29m2（壁芯）,2LDK,16.06m2,1985年8月
/ms/chuko/tokyo/sc_shinagawa/nc_79029639/,グリーンビュー白金,2026-01-05,4380万円,東京都品川区上大崎２,ＪＲ山手線「目黒」徒歩1分,34.31m2（壁芯）,1LDK,3.77m2,1978年1月
/ms/chuko/tokyo/sc_shinagawa/nc_78794427/,グリーンビュー白金,2026-01-05,4380万円,東京都品川区上大崎２,ＪＲ山手線「目黒」徒歩1分,34.31m2（10.37坪）（壁芯）,1LDK,3.77m2,1978年1月
/ms/chuko/tokyo/sc_shinagawa/nc_78921784/,グリーンビュー白金,2026-01-05,4380万円,東京都品川区上大崎２,ＪＲ山手線「目黒」徒歩1分,34.31m2（10.37坪）,1LDK,3.77m2,1978年1月
/ms/chuko/tokyo/sc_shinagawa/nc_79014230/,グリーンビュー白金,2026-01-05,4380万円,東京都品川区上大崎２,ＪＲ山手線「目黒」徒歩1分,34.31m2（10.37坪）（壁芯）,1LDK,3.77m2,1978年1月
/ms/chuko/tokyo/sc_shinagawa/nc_77827172/,大森パークハイツ　2階,2026-01-05,4380万円,東京都品川区南大井２-12-1,京急本線「大森海岸」徒歩3分,60.48m2（18.29坪）（壁芯）,3LDK,6.72m2,1980年8月
/ms/chuko/tokyo/sc_shinagawa/nc_79111996/,大森駅前住宅　２号棟,2026-01-05,4580万円,東京都品川区南大井６-18-2,ＪＲ京浜東北線「大森」徒歩4分,59.22m2（17.91坪）,2LDK,-,1970年10月
/ms/chuko/tokyo/sc_shinagawa/nc_78758452/,コートハウス東品川,2026-01-05,4790万円,東京都品川区東品川３,りんかい線「品川シーサイド」徒歩7分,59.16m2（壁芯）,2LDK,6.96m2,1980年9月
/ms/chuko/tokyo/sc_shinagawa/nc_78985177/,【今すぐ見たい　お任せください】　コートハウス東品川,2026-01-05,4790万円,東京都品川区東品川３,りんかい線「品川シーサイド」徒歩7分,59.16m2（壁芯）,2LDK,6.96m2,1980年9月
/ms/chuko/tokyo/sc_shinagawa/nc_78801910/,ライオンズマンション大森,2026-01-05,4980万円,東京都品川区南大井２,京急本線「大森海岸」徒歩4分,58.3m2（壁芯）,2LDK,3.71m2,1978年7月
/ms/chuko/tokyo/sc_shinagawa/nc_77682433/,日商岩井東品川マンション,2026-01-05,4980万円,東京都品川区東品川３,京急本線「新馬場」徒歩6分,56.44m2（壁芯）,2LDK,-,1973年9月
/ms/chuko/tokyo/sc_shinagawa/nc_78761349/,ライオンズマンション大森,2026-01-05,4980万円,東京都品川区南大井２,京急本線「大森海岸」徒歩4分,58.3m2（壁芯）,2LDK,3.71m2,1978年7月
/ms/chuko/tokyo/sc_shinagawa/nc_78401423/,【今すぐ見たい　お任せください】　財形第3御殿山マン…,2026-01-05,4980万円,東京都品川区北品川４,ＪＲ山手線「大崎」徒歩11分,52.38m2（壁芯）,2LDK,7.02m2,1977年12月
/ms/chuko/tokyo/sc_shinagawa/nc_78776222/,ザ・パークワンズ品川戸越,2026-01-05,4980万円,東京都品川区平塚２,東急池上線「戸越銀座」徒歩7分,25.01m2（7.56坪）（壁芯）,1K,4.87m2,2017年8月
/ms/chuko/tokyo/sc_shinagawa/nc_78858328/,モナーク大井,2026-01-05,4980万円,東京都品川区大井４-18-25,ＪＲ京浜東北線「大井町」徒歩10分,44.82m2（壁芯）,1LDK,5.64m2,1977年11月
/ms/chuko/tokyo/sc_shinagawa/nc_78321449/,ルーブル東馬込,2026-01-05,5180万円,東京都品川区西大井５,都営浅草線「馬込」徒歩7分,40.6m2（壁芯）,2DK,4.54m2,2007年8月
/ms/chuko/tokyo/sc_shinagawa/nc_78713418/,シャルマン東品川,2026-01-05,5380万円,東京都品川区東品川４,りんかい線「品川シーサイド」徒歩5分,58.21m2（壁芯）,2LDK,7.39m2,1980年7月
/ms/chuko/tokyo/sc_shinagawa/nc_79112060/,ニューハイツ大森,2026-01-05,5499万円,東京都品川区南大井６-4-6,ＪＲ京浜東北線「大森」徒歩6分,61.07m2（18.47坪）（壁芯）,2LDK+S（納戸）,5.99m2,1975年8月
/ms/chuko/tokyo/sc_shinagawa/nc_78731682/,ドルミ東品川,2026-01-05,5598万円,東京都品川区東品川３-１６－３,りんかい線「品川シーサイド」徒歩8分,58.24m2（壁芯）,2LDK+S（納戸）,7m2,1979年2月
/ms/chuko/tokyo/sc_shinagawa/nc_79111208/,メゾンド中延,2026-01-05,5790万円,東京都品川区豊町６-18-2,東急大井町線「中延」徒歩4分,78.26m2（23.67坪）,3LDK,-,1984年2月
/ms/chuko/tokyo/sc_shinagawa/nc_79121363/,レグラス荏原中延,2026-01-05,5980万円,東京都品川区西中延１,東急池上線「荏原中延」徒歩9分,44.78m2（13.54坪）（壁芯）,1LDK,6.38m2,2011年6月
