link,物件名,date,販売価格,所在地,沿線・駅,専有面積,間取り,バルコニー,築年月
/ms/chuko/tokyo/sc_shinjuku/nc_78906245/,新宿コーポ1号館,2026-01-05,1680万円,東京都新宿区新宿７-26-56,都営大江戸線「東新宿」徒歩5分,29.16m2（壁芯）,1DK,5m2,1962年10月
/ms/chuko/tokyo/sc_shinjuku/nc_79111110/,カーサ第二新宿,2026-01-05,2680万円,東京都新宿区大久保１-12-3,都営大江戸線「東新宿」徒歩4分,33.28m2（10.06坪）,1LDK,3.78m2,1974年2月
/ms/chuko/tokyo/sc_shinjuku/nc_79111108/,マンションVIP柏木,2026-01-05,3199万円,東京都新宿区北新宿４-33-3,ＪＲ中央線「東中野」徒歩6分,35.84m2（10.84坪）（壁芯）,1LDK,4.32m2,1971年5月
/ms/chuko/tokyo/sc_shinjuku/nc_78949474/,ドルチェ東新宿,2026-01-05,3480万円,東京都新宿区若松町15-7,都営大江戸線「若松河田」徒歩4分,23.93m2（7.23坪）（壁芯）,1K,3.15m2,2007年7月
/ms/chuko/tokyo/sc_shinjuku/nc_78794379/,新宿ニューハウジング,2026-01-05,3580万円,東京都新宿区西新宿４,都営大江戸線「西新宿五丁目」徒歩4分,33.43m2（壁芯）,1LDK,3.69m2,1973年9月
/ms/chuko/tokyo/sc_shinjuku/nc_79111193/,ワセダ山崎マンション,2026-01-05,3580万円,東京都新宿区西早稲田１-10-6,東京メトロ東西線「早稲田」徒歩9分,38.53m2（11.65坪）,2LDK,2.71m2,1982年11月
/ms/chuko/tokyo/sc_shinjuku/nc_79111092/,ヴェラハイツ新宿,2026-01-05,3680万円,東京都新宿区北新宿２-8-20,ＪＲ中央線「大久保」徒歩9分,54.33m2（16.43坪）,1LDK,9.2m2,1977年3月
/ms/chuko/tokyo/sc_shinjuku/nc_79101553/,新宿サマリヤマンション,2026-01-05,3880万円,東京都新宿区北新宿１-28-15,ＪＲ中央線「大久保」徒歩7分,48.96m2（14.81坪）（壁芯）,2LDK,3.39m2,1980年7月
/ms/chuko/tokyo/sc_shinjuku/nc_77245163/,余丁町サンハイツ,2026-01-05,3980万円,東京都新宿区余丁町12-27,都営大江戸線「若松河田」徒歩4分,49.5m2（14.97坪）（壁芯）,2DK,-,1978年10月
/ms/chuko/tokyo/sc_shinjuku/nc_78841921/,トーカン新宿第2キャステール,2026-01-05,3980万円,東京都新宿区西新宿３,都営大江戸線「都庁前」徒歩7分,34.61m2,ワンルーム,5.64m2,1980年1月
/ms/chuko/tokyo/sc_shinjuku/nc_79109066/,牛込中央マンション,2026-01-05,3999万円,東京都新宿区弁天町150,都営大江戸線「牛込柳町」徒歩5分,61.95m2（18.73坪）（壁芯）,2LDK,3.61m2,1967年5月
/ms/chuko/tokyo/sc_shinjuku/nc_79111948/,エスカイア高田馬場,2026-01-05,4280万円,東京都新宿区高田馬場４-27-15,ＪＲ山手線「高田馬場」徒歩7分,47.29m2（14.30坪）（壁芯）,2LDK,2.65m2,1979年4月
/ms/chuko/tokyo/sc_shinjuku/nc_78943948/,ルミナ―ル若松町,2026-01-05,4780万円,東京都新宿区若松町24-9,都営大江戸線「若松河田」徒歩4分,50.31m2（15.21坪）,1LDK,8.06m2,1981年11月
/ms/chuko/tokyo/sc_shinjuku/nc_78649778/,ベルディ早稲田東,2026-01-05,4880万円,東京都新宿区山吹町,東京メトロ有楽町線「江戸川橋」徒歩4分,48.96m2（壁芯）,2LDK,4.6m2,1985年1月
/ms/chuko/tokyo/sc_shinjuku/nc_78794446/,ベルディ早稲田東,2026-01-05,4880万円,東京都新宿区山吹町,東京メトロ有楽町線「江戸川橋」徒歩4分,48.96m2（14.81坪）（壁芯）,2LDK,4.6m2,1985年1月
/ms/chuko/tokyo/sc_shinjuku/nc_78781796/,【今すぐ見たい　お任せください】　ベルディ早稲田東,2026-01-05,4880万円,東京都新宿区山吹町,東京メトロ有楽町線「江戸川橋」徒歩4分,48.96m2（壁芯）,2LDK,4.6m2,1985年1月
/ms/chuko/tokyo/sc_shinjuku/nc_78922480/,グリーンキャピタル神楽坂,2026-01-05,4980万円,東京都新宿区山吹町,東京メトロ有楽町線「江戸川橋」徒歩3分,45.37m2（壁芯）,1LDK,5.46m2,1979年4月
/ms/chuko/tokyo/sc_shinjuku/nc_78988309/,グリーンキャピタル神楽坂,2026-01-05,4980万円,東京都新宿区山吹町315-3,東京メトロ有楽町線「江戸川橋」徒歩3分,45.37m2（13.72坪）（壁芯）,1LDK,5.46m2,1979年4月
/ms/chuko/tokyo/sc_shinjuku/nc_78794648/,アークステージ高田馬場,2026-01-05,5199万円,東京都新宿区高田馬場３,ＪＲ山手線「高田馬場」徒歩11分,51.78m2（15.66坪）（壁芯）,2LDK,9.06m2,1996年1月
/ms/chuko/tokyo/sc_shinjuku/nc_77842128/,アークステージ高田馬場,2026-01-05,5199万円,東京都新宿区高田馬場３-36-5,ＪＲ山手線「高田馬場」徒歩11分,51.78m2（15.66坪）（壁芯）,2LDK,9.06m2,1996年1月
/ms/chuko/tokyo/sc_shinjuku/nc_79030659/,【今すぐ見たい　お任せください】 西新宿ビューハイツ,2026-01-05,5480万円,東京都新宿区西新宿４,京王新線「初台」徒歩7分,45.28m2（壁芯）,1LDK,2.94m2,1982年3月
/ms/chuko/tokyo/sc_shinjuku/nc_78898245/,中落合東豊エステート,2026-01-05,5780万円,東京都新宿区中落合２,都営大江戸線「中井」徒歩7分,68.14m2（壁芯）,2LDK,9.72m2,1971年8月
/ms/chuko/tokyo/sc_shinjuku/nc_79112153/,アビターレ目白,2026-01-05,5980万円,東京都新宿区下落合３-22-18,ＪＲ山手線「目白」徒歩10分,67.39m2（20.38坪）,2LDK,-,1979年4月
/ms/chuko/tokyo/sc_shinjuku/nc_78926936/,牛込ハイマンション,2026-01-05,6090万円,東京都新宿区原町１,都営大江戸線「牛込柳町」徒歩1分,65.48m2（壁芯）,3LDK,7.95m2,1970年1月
/ms/chuko/tokyo/sc_shinjuku/nc_78615594/,パインクレスト信濃町,2026-01-05,6280万円,東京都新宿区南元町3-7,ＪＲ中央線「信濃町」徒歩6分,48.04m2（14.53坪）（壁芯）,1LDK,2.42m2,1991年12月
/ms/chuko/tokyo/sc_shinjuku/nc_79038926/,目白が丘マンション 403号室,2026-01-05,6299万円,東京都新宿区下落合３,ＪＲ山手線「目白」徒歩9分,62.62m2（18.94坪）（壁芯）,2LDK,-,1971年10月
/ms/chuko/tokyo/sc_shinjuku/nc_79011961/,西新宿ダイヤモンドパレス,2026-01-05,6299万円,東京都新宿区西新宿３,ＪＲ山手線「新宿」徒歩7分,49.28m2（壁芯）,2LDK,7.56m2,1981年3月
/ms/chuko/tokyo/sc_shinjuku/nc_78941491/,パインクレスト信濃町,2026-01-05,6380万円,東京都新宿区南元町3-7,ＪＲ中央線「信濃町」徒歩6分,42.05m2（12.72坪）（壁芯）,1LDK,5.2m2,1991年12月
/ms/chuko/tokyo/sc_shinjuku/nc_78023853/,ルジェンテ早稲田,2026-01-05,6573万円,東京都新宿区早稲田鶴巻町508-5,東京メトロ東西線「早稲田」徒歩4分,32.9m2（9.95坪）（壁芯）,1LDK,5.22m2,2023年12月
/ms/chuko/tokyo/sc_shinjuku/nc_78430343/,レクセル下落合第1,2026-01-05,6799万円,東京都新宿区上落合１-18-7,西武新宿線「下落合」徒歩3分,55.18m2（16.69坪）（壁芯）,2LDK,7.13m2,1995年3月
/ms/chuko/tokyo/sc_shinjuku/nc_79111077/,ＡＸＡＳレジデンス外苑,2026-01-05,6900万円,東京都新宿区南元町4-57,ＪＲ中央線「信濃町」徒歩6分,47.68m2（14.42坪）,2K,3.46m2,2019年2月
/ms/chuko/tokyo/sc_shinjuku/nc_78985174/,【今すぐ見たい　お任せください】 ＡＸＡＳレジデンス…,2026-01-05,6900万円,東京都新宿区南元町,ＪＲ中央線「信濃町」徒歩6分,47.68m2（壁芯）,2K,3.46m2,2019年2月
/ms/chuko/tokyo/sc_shinjuku/nc_77956457/,グランメール中井,2026-01-05,6980万円,東京都新宿区中井１,西武新宿線「中井」徒歩1分,70.66m2（21.37坪）（壁芯）,2LDK,10.17m2,1982年11月
/ms/chuko/tokyo/sc_shinjuku/nc_78135542/,エバーグリーンパレス新宿,2026-01-05,6980万円,東京都新宿区新宿６,都営大江戸線「東新宿」徒歩4分,50.13m2（壁芯）,2LDK,2m2,1995年2月
/ms/chuko/tokyo/sc_shinjuku/nc_78430344/,エバーグリーンパレス新宿,2026-01-05,6980万円,東京都新宿区新宿６-25-11,東京メトロ副都心線「東新宿」徒歩3分,50.13m2（15.16坪）（壁芯）,2LDK,-,1995年2月
/ms/chuko/tokyo/sc_shinjuku/nc_78794190/,御苑ハイム,2026-01-05,6999万円,東京都新宿区四谷４,東京メトロ丸ノ内線「新宿御苑前」徒歩10分,67.07m2（20.28坪）（壁芯）,2LDK,5.51m2,1979年2月
/ms/chuko/tokyo/sc_shinjuku/nc_78417301/,御苑ハイム,2026-01-05,6999万円,東京都新宿区四谷４,東京メトロ丸ノ内線「四谷三丁目」徒歩9分,67.07m2（20.28坪）（壁芯）,2LDK,5.51m2,1979年2月
/ms/chuko/tokyo/sc_shinjuku/nc_78324761/,御苑ハイム,2026-01-05,6999万円,東京都新宿区四谷４,東京メトロ丸ノ内線「新宿御苑前」徒歩10分,67.07m2（壁芯）,2LDK,5.51m2,1979年2月
/ms/chuko/tokyo/sc_shinjuku/nc_78353174/,【今すぐ見たい　お任せください】 御苑ハイム,2026-01-05,6999万円,東京都新宿区四谷４,東京メトロ丸ノ内線「新宿御苑前」徒歩10分,67.07m2（壁芯）,2LDK,5.51m2,1979年2月
/ms/chuko/tokyo/sc_shinjuku/nc_78787498/,グランアビテ四谷三丁目ステーションフロント,2026-01-05,7180万円,東京都新宿区四谷３,東京メトロ丸ノ内線「四谷三丁目」徒歩1分,38.15m2（壁芯）,1LDK,6.4m2,2004年9月
/ms/chuko/tokyo/sc_shinjuku/nc_79015858/,神楽坂ハウス,2026-01-05,7480万円,東京都新宿区筑土八幡町,東京メトロ東西線「神楽坂」徒歩6分,57.75m2,1LDK,7.26m2,1979年3月
/ms/chuko/tokyo/sc_shinjuku/nc_79001380/,飯田橋第２パークファミリア,2026-01-05,7480万円,東京都新宿区新小川町6-27,東京メトロ有楽町線「江戸川橋」徒歩9分,59.92m2（18.12坪）（壁芯）,3DK,6.27m2,1980年2月
/ms/chuko/tokyo/sc_shinjuku/nc_78590347/,西早稲田シティタワー,2026-01-05,7790万円,東京都新宿区西早稲田１,東京メトロ東西線「早稲田」徒歩11分,50.01m2（壁芯）,1LDK,7.57m2,1999年3月
/ms/chuko/tokyo/sc_shinjuku/nc_78516984/,グランドメゾン戸山,2026-01-05,7990万円,東京都新宿区新宿７,都営大江戸線「東新宿」徒歩1分,64.28m2（壁芯）,3LDK,9.4m2,1983年7月
/ms/chuko/tokyo/sc_shinjuku/nc_79106774/,サンセール神楽坂,2026-01-05,7999万円,東京都新宿区西五軒町,東京メトロ東西線「神楽坂」徒歩8分,45.85m2（壁芯）,1LDK,1m2,1992年2月
/ms/chuko/tokyo/sc_shinjuku/nc_78846842/,ロイヤルシーズン新宿柏木,2026-01-05,8200万円,東京都新宿区北新宿１-１６－２0,ＪＲ総武線「大久保」徒歩5分,54.68m2（16.54坪）（壁芯）,2LDK,-,2015年6月
/ms/chuko/tokyo/sc_shinjuku/nc_78809126/,feeth 神楽坂,2026-01-05,8350万円,東京都新宿区北山伏町,都営大江戸線「牛込神楽坂」徒歩3分,45.89m2（壁芯）,1LDK,3.64m2,2010年1月
/ms/chuko/tokyo/sc_shinjuku/nc_77033045/,ニューハイツ新神楽坂,2026-01-05,8480万円,東京都新宿区新小川町３－３０,東京メトロ東西線「飯田橋」徒歩6分,58.72m2（壁芯）,2LDK,6.16m2,1996年3月
/ms/chuko/tokyo/sc_shinjuku/nc_78355087/,中落合シティハウス,2026-01-05,8490万円,東京都新宿区中落合２,西武新宿線「下落合」徒歩6分,89.46m2（壁芯）,3LDK,13.53m2,1979年12月
/ms/chuko/tokyo/sc_shinjuku/nc_78376261/,落合ハイム,2026-01-05,8680万円,東京都新宿区上落合１,東京メトロ東西線「落合」徒歩4分,56.11m2（壁芯）,2LDK,7.67m2,2002年3月
