link,物件名,date,販売価格,所在地,沿線・駅,専有面積,間取り,バルコニー,築年月
/ms/chuko/tokyo/sc_suginami/nc_78480287/,西荻ローヤルコーポ　角部屋,2026-01-05,1480万円,東京都杉並区西荻北４,ＪＲ中央線「西荻窪」徒歩6分,22.6m2（壁芯）,1DK,1.9m2,1969年12月
/ms/chuko/tokyo/sc_suginami/nc_78615253/,ソアール方南町,2026-01-05,2280万円,東京都杉並区堀ノ内２,東京メトロ丸ノ内線「方南町」徒歩10分,30.08m2（壁芯）,2DK,3.6m2,1984年10月
/ms/chuko/tokyo/sc_suginami/nc_78863772/,久我山コーポラス,2026-01-05,2280万円,東京都杉並区久我山３-17-21,京王井の頭線「久我山」徒歩4分,41.04m2（壁芯）,1LDK,3m2,1968年3月
/ms/chuko/tokyo/sc_suginami/nc_79034996/,マンション三鷹台,2026-01-05,2499万円,東京都杉並区松庵１,京王井の頭線「三鷹台」徒歩10分,31.76m2（壁芯）,1LDK,4.04m2,1971年2月
/ms/chuko/tokyo/sc_suginami/nc_78917057/,トーシンフェニックス南阿佐ヶ谷,2026-01-05,2500万円,東京都杉並区阿佐谷南１-14-6,東京メトロ丸ノ内線「南阿佐ケ谷」徒歩2分,20.73m2（6.27坪）（壁芯）,1K,3.82m2,2003年10月
/ms/chuko/tokyo/sc_suginami/nc_79074653/,ガラ・シティ高井戸,2026-01-05,3280万円,東京都杉並区高井戸西１-2-1,京王井の頭線「高井戸」徒歩8分,34.76m2（10.51坪）（壁芯）,1DK,9.5m2,1996年9月
/ms/chuko/tokyo/sc_suginami/nc_78671732/,丸新マンション荻窪,2026-01-05,3680万円,東京都杉並区荻窪５,ＪＲ中央線「荻窪」徒歩3分,38.1m2（壁芯）,1LDK,6.3m2,1972年11月
/ms/chuko/tokyo/sc_suginami/nc_79131383/,ニュー方南町マンション,2026-01-05,3780万円,東京都杉並区方南１-53-7,東京メトロ丸ノ内線「方南町」徒歩5分,48.56m2（14.68坪）,2LDK,5.46m2,1977年7月
/ms/chuko/tokyo/sc_suginami/nc_77525300/,モナーク杉並A棟,2026-01-05,3790万円,東京都杉並区堀ノ内１,東京メトロ丸ノ内線「方南町」徒歩4分,41.25m2（壁芯）,1LDK,4.3m2,1979年9月
/ms/chuko/tokyo/sc_suginami/nc_78872202/,ベルアルシェ東高円寺,2026-01-05,3980万円,東京都杉並区和田１,東京メトロ丸ノ内線「東高円寺」徒歩6分,30.71m2（壁芯）,1LDK,2.5m2,2007年8月
/ms/chuko/tokyo/sc_suginami/nc_78895076/,ベルアルシェ東高円寺,2026-01-05,3980万円,東京都杉並区和田１,東京メトロ丸ノ内線「東高円寺」徒歩6分,30.71m2（壁芯）,1LDK,2.5m2,2007年8月
/ms/chuko/tokyo/sc_suginami/nc_78112460/,西荻チャペルマンション　新規リフォーム済み♪,2026-01-05,3990万円,東京都杉並区西荻北２,ＪＲ中央線「西荻窪」徒歩3分,66.78m2（壁芯）,2LDK,-,1970年5月
/ms/chuko/tokyo/sc_suginami/nc_78065881/,杉並コーポラス,2026-01-05,4280万円,東京都杉並区上荻４,ＪＲ中央線「西荻窪」徒歩8分,48.1m2（14.55坪）（壁芯）,2LDK,-,1967年3月
/ms/chuko/tokyo/sc_suginami/nc_79036795/,丸増井荻マンション,2026-01-05,4280万円,東京都杉並区下井草５,西武新宿線「井荻」徒歩8分,57.97m2（壁芯）,2LDK,3.51m2,1973年1月
/ms/chuko/tokyo/sc_suginami/nc_79055617/,丸増井荻マンション,2026-01-05,4280万円,東京都杉並区下井草５,西武新宿線「井荻」徒歩8分,57.97m2（17.53坪）（壁芯）,2LDK,3.51m2,1973年1月
/ms/chuko/tokyo/sc_suginami/nc_79083116/,【今すぐ見たい　お任せください】　丸増井荻マンション,2026-01-05,4280万円,東京都杉並区下井草５,西武新宿線「井荻」徒歩8分,57.97m2（壁芯）,2LDK,3.51m2,1973年1月
/ms/chuko/tokyo/sc_suginami/nc_79111176/,ライオンズマンション高井戸,2026-01-05,4290万円,東京都杉並区高井戸東２-25-9,京王井の頭線「高井戸」徒歩3分,47.52m2（14.37坪）（壁芯）,1LDK,3.24m2,1976年11月
/ms/chuko/tokyo/sc_suginami/nc_79023076/,ライオンズマンション高井戸,2026-01-05,4290万円,東京都杉並区高井戸東２,京王井の頭線「高井戸」徒歩3分,47.52m2（壁芯）,1LDK,3.24m2,1976年11月
