link,物件名,date,販売価格,所在地,沿線・駅,専有面積,間取り,バルコニー,築年月
/ms/chuko/tokyo/sc_sumida/nc_79132873/,錦糸町第７ウィーンハイツ,2026-01-05,2080万円,東京都墨田区立川４-13-16,都営新宿線「菊川」徒歩5分,32.68m2（壁芯）,2DK,7.44m2,1978年7月
/ms/chuko/tokyo/sc_sumida/nc_77329600/,キャッスルマンション両国,2026-01-05,2490万円,東京都墨田区緑１-２１－１３,都営大江戸線「両国」徒歩4分,36.94m2（11.17坪）（壁芯）,1LDK,3.24m2,1981年10月
/ms/chuko/tokyo/sc_sumida/nc_78740946/,モアステージ墨田,2026-01-05,3380万円,東京都墨田区墨田５,東武伊勢崎線「鐘ヶ淵」徒歩8分,71.25m2（壁芯）,3LDK,7m2,1989年10月
/ms/chuko/tokyo/sc_sumida/nc_78971959/,メイゾン向島,2026-01-05,3480万円,東京都墨田区向島２,京成押上線「押上」徒歩11分,50.25m2（壁芯）,2LDK,5.75m2,1973年3月
/ms/chuko/tokyo/sc_sumida/nc_78957895/,コスモ平井ウイングコート,2026-01-05,3480万円,東京都墨田区立花４,東武亀戸線「東あずま」徒歩5分,64.66m2（壁芯）,3LDK,1.2m2,1997年7月
/ms/chuko/tokyo/sc_sumida/nc_78876765/,メイゾン向島,2026-01-05,3799万円,東京都墨田区向島２,東京メトロ半蔵門線「押上」徒歩11分,53.12m2（16.06坪）（壁芯）,2LDK,2.87m2,1973年3月
/ms/chuko/tokyo/sc_sumida/nc_78114121/,ライオンズマンション錦糸町第6,2026-01-05,4180万円,東京都墨田区太平１,ＪＲ総武線「錦糸町」徒歩9分,33.87m2（壁芯）,1LDK,2.94m2,1987年9月
/ms/chuko/tokyo/sc_sumida/nc_78698432/,シャルム錦糸町,2026-01-05,4480万円,東京都墨田区石原４,ＪＲ総武線「錦糸町」徒歩13分,55.55m2（壁芯）,2LDK,5.82m2,1981年2月
/ms/chuko/tokyo/sc_sumida/nc_78451928/,レリア東向島,2026-01-05,4780万円,東京都墨田区東向島６,東武伊勢崎線「東向島」徒歩5分,60.15m2,1LDK+S（納戸）,7.96m2,2009年5月
/ms/chuko/tokyo/sc_sumida/nc_78723958/,大江戸線【両国】駅徒歩7分・総武線【両国】駅徒歩13…,2026-01-05,4950万円,東京都墨田区亀沢２,都営大江戸線「両国」徒歩7分,54.88m2（壁芯）,3DK,6.1m2,1981年7月
/ms/chuko/tokyo/sc_sumida/nc_78267624/,Rising place 押上,2026-01-05,4980万円,東京都墨田区横川１,東武伊勢崎線「とうきょうスカイツリー」徒歩9分,40.62m2（壁芯）,1LDK,8.4m2,2013年4月
/ms/chuko/tokyo/sc_sumida/nc_79111730/,サンサーラ第二吾妻橋,2026-01-05,4999万円,東京都墨田区吾妻橋２-3-15,都営浅草線「本所吾妻橋」徒歩1分,60.09m2（18.17坪）,3LDK,7.4m2,1983年2月
/ms/chuko/tokyo/sc_sumida/nc_78130750/,MAXIV東向島フュージョナルDUE,2026-01-05,5080万円,東京都墨田区東向島６-47-7,東武伊勢崎線「東向島」徒歩7分,50.53m2（壁芯）,2LDK,3.3m2,2018年5月
/ms/chuko/tokyo/sc_sumida/nc_78900348/,ライオンズマンション隅田公園,2026-01-05,5200万円,東京都墨田区向島２-１２－４,東京メトロ半蔵門線「押上」徒歩9分,57.17m2（17.29坪）（壁芯）,3DK,5.5m2,1983年5月
/ms/chuko/tokyo/sc_sumida/nc_78507059/,ダイアパレス八広花水木通りトリニティ,2026-01-05,5299万円,東京都墨田区八広４,京成押上線「八広」徒歩10分,70.7m2（壁芯）,3LDK,6.75m2,2000年3月
/ms/chuko/tokyo/sc_sumida/nc_78865458/,ライオンズマンション東向島第2,2026-01-05,5580万円,東京都墨田区東向島５,東武伊勢崎線「東向島」徒歩8分,61.78m2（18.68坪）（壁芯）,3LDK,5.88m2,1995年4月
/ms/chuko/tokyo/sc_sumida/nc_78807952/,ライオンズマンション東向島第２,2026-01-05,5580万円,東京都墨田区東向島５,東武伊勢崎線「東向島」徒歩8分,61.78m2（壁芯）,2LDK,5.88m2,1995年4月
/ms/chuko/tokyo/sc_sumida/nc_78519104/,【今すぐ見たい　お任せください】 エクレール向島,2026-01-05,5680万円,東京都墨田区向島５,東京メトロ半蔵門線「押上」徒歩10分,60.01m2（壁芯）,2LDK,11.72m2,1985年3月
/ms/chuko/tokyo/sc_sumida/nc_78629405/,リリーベル墨田リバーコースト,2026-01-05,6298万円,東京都墨田区墨田４,東武伊勢崎線「鐘ヶ淵」徒歩6分,72.81m2（22.02坪）（壁芯）,2LDK+S（納戸）,11.34m2,2006年6月
/ms/chuko/tokyo/sc_sumida/nc_79036097/,キャッスルマンション亀戸立花,2026-01-05,6299万円,東京都墨田区立花５-2-4,東武亀戸線「小村井」徒歩3分,66.74m2（20.18坪）（壁芯）,3LDK,46.37m2,1998年9月
/ms/chuko/tokyo/sc_sumida/nc_79132835/,ジーベック押上,2026-01-05,6390万円,東京都墨田区業平１-10-7,都営浅草線「押上」徒歩3分,40.9m2（壁芯）,1LDK,3.96m2,2016年9月
/ms/chuko/tokyo/sc_sumida/nc_79111161/,ジーベック押上,2026-01-05,6390万円,東京都墨田区業平１-10-7,都営浅草線「押上」徒歩3分,40.9m2（12.37坪）（壁芯）,1LDK,3.96m2,2016年9月
/ms/chuko/tokyo/sc_sumida/nc_78781797/,【今すぐ見たい　お任せください】  キャッスルマンシ…,2026-01-05,6399万円,東京都墨田区立花５,東武亀戸線「小村井」徒歩3分,64.2m2（壁芯）,3LDK,9m2,1999年10月
/ms/chuko/tokyo/sc_sumida/nc_79111232/,ＢＥＬＩＳＴＡ押上駅前,2026-01-05,6480万円,東京都墨田区業平３-13-4,京成押上線「押上」徒歩2分,40.08m2（12.12坪）,1LDK,7.51m2,2010年1月
/ms/chuko/tokyo/sc_sumida/nc_78892749/,ＢＥＬＩＳＴＡ押上駅前,2026-01-05,6480万円,東京都墨田区業平３,東京メトロ半蔵門線「押上」徒歩2分,40.08m2（12.12坪）（壁芯）,1LDK,7.51m2,2010年1月
/ms/chuko/tokyo/sc_sumida/nc_79081915/,グレイス両国,2026-01-05,6500万円,東京都墨田区両国４,都営大江戸線「両国」徒歩3分,57.5m2,2LDK,8.4m2,1982年6月
/ms/chuko/tokyo/sc_sumida/nc_79080887/,グレイス両国,2026-01-05,6500万円,東京都墨田区両国４,都営大江戸線「両国」徒歩3分,57.5m2（17.39坪）（壁芯）,1LDK+S（納戸）,8.4m2,1982年6月
/ms/chuko/tokyo/sc_sumida/nc_79110365/,ダイアパレスアビエント亀戸,2026-01-05,6780万円,東京都墨田区立花５,東武亀戸線「小村井」徒歩6分,76.37m2,3LDK,23.85m2,2003年3月
/ms/chuko/tokyo/sc_sumida/nc_79112171/,イーストコア曳舟一番館,2026-01-05,6990万円,東京都墨田区京島１-1-1,東武伊勢崎線「曳舟」徒歩2分,45.53m2,1LDK,12m2,2008年10月
/ms/chuko/tokyo/sc_sumida/nc_79055119/,イーストコア曳舟一番館,2026-01-05,6990万円,東京都墨田区京島１,東武伊勢崎線「曳舟」徒歩2分,45.53m2（壁芯）,1LDK+S（納戸）,12m2,2008年10月
/ms/chuko/tokyo/sc_sumida/nc_78434343/,セザール本所吾妻橋,2026-01-05,7250万円,東京都墨田区本所４,都営浅草線「本所吾妻橋」徒歩6分,62.91m2（壁芯）,3LDK,6.48m2,1997年8月
/ms/chuko/tokyo/sc_sumida/nc_78088552/,ライオンズマンション菊川リバーサイド,2026-01-05,7280万円,東京都墨田区菊川３,都営新宿線「菊川」徒歩4分,61.07m2（壁芯）,3LDK,9.3m2,1997年2月
/ms/chuko/tokyo/sc_sumida/nc_78752874/,セレナハイム隅田公園ビューステージ,2026-01-05,7499万円,東京都墨田区向島５,東武伊勢崎線「曳舟」徒歩10分,70.83m2（21.42坪）（壁芯）,3LDK,6.1m2,2004年3月
/ms/chuko/tokyo/sc_sumida/nc_79111142/,サングランデ桜橋,2026-01-05,7999万円,東京都墨田区堤通１-1-1,東武亀戸線「曳舟」徒歩10分,71.82m2（21.72坪）（壁芯）,3LDK,12.6m2,2006年1月
/ms/chuko/tokyo/sc_sumida/nc_79096073/,サングランデ桜橋,2026-01-05,7999万円,東京都墨田区堤通１,東武伊勢崎線「曳舟」徒歩10分,71.82m2（21.72坪）（壁芯）,3LDK,12.6m2,2006年1月
/ms/chuko/tokyo/sc_sumida/nc_79027280/,サングランデ桜橋,2026-01-05,7999万円,東京都墨田区堤通１,東武伊勢崎線「曳舟」徒歩10分,71.82m2（21.72坪）（壁芯）,3LDK,12.6m2,2006年1月
