link,物件名,date,販売価格,所在地,沿線・駅,専有面積,間取り,バルコニー,築年月
/ms/chuko/tokyo/sc_taito/nc_79111237/,駒形茜日神ハイツ,2026-01-05,2680万円,東京都台東区駒形１-12-10,東京メトロ銀座線「浅草」徒歩1分,39.45m2（11.93坪）（壁芯）,1LDK,5.13m2,1978年2月
/ms/chuko/tokyo/sc_taito/nc_78099222/,第2さくらコーポ,2026-01-05,3200万円,東京都台東区東浅草１-3-4,東京メトロ銀座線「浅草」徒歩15分,66.83m2（20.21坪）（壁芯）,2LDK,-,1986年5月
/ms/chuko/tokyo/sc_taito/nc_79102263/,ヌーベルメゾン鶯谷,2026-01-05,3400万円,東京都台東区下谷２-24-1,東京メトロ日比谷線「入谷」徒歩2分,43.94m2（13.29坪）,2DK,-,1981年9月
/ms/chuko/tokyo/sc_taito/nc_79111225/,サンパークマンション鶯谷,2026-01-05,3480万円,東京都台東区下谷２-5-13,ＪＲ山手線「鶯谷」徒歩4分,44.01m2（13.31坪）（壁芯）,2DK,5.13m2,1980年4月
/ms/chuko/tokyo/sc_taito/nc_77943153/,デューク浅草,2026-01-05,4480万円,東京都台東区浅草２,東京メトロ銀座線「浅草」徒歩6分,41.97m2（壁芯）,1LDK,4.84m2,1981年3月
/ms/chuko/tokyo/sc_taito/nc_77614475/,ダイアパレス御徒町第三,2026-01-05,4680万円,東京都台東区台東３,都営大江戸線「新御徒町」徒歩6分,36.72m2（壁芯）,1LDK,10.23m2,1984年2月
/ms/chuko/tokyo/sc_taito/nc_79111923/,鶯谷永谷マンション,2026-01-05,4780万円,東京都台東区根岸２-18-2,ＪＲ山手線「鶯谷」徒歩3分,53.28m2（16.11坪）（壁芯）,2LDK,3.42m2,1972年3月
/ms/chuko/tokyo/sc_taito/nc_79041357/,鶯谷永谷マンション,2026-01-05,4780万円,東京都台東区根岸２,ＪＲ山手線「鶯谷」徒歩3分,53.28m2（壁芯）,2LDK,3.42m2,1972年3月
/ms/chuko/tokyo/sc_taito/nc_79074230/,鶯谷永谷マンション,2026-01-05,4780万円,東京都台東区根岸２,ＪＲ山手線「鶯谷」徒歩3分,53.28m2（壁芯）,2LDK,3.42m2,1972年3月
/ms/chuko/tokyo/sc_taito/nc_78792856/,上野入谷シティハウス,2026-01-05,4970万円,東京都台東区千束２,東京メトロ日比谷線「入谷」徒歩7分,39.82m2,1LDK,12.52m2,1990年3月
/ms/chuko/tokyo/sc_taito/nc_78917638/,マンション西浅草,2026-01-05,4999万円,東京都台東区西浅草２-14-13,つくばエクスプレス「浅草」徒歩1分,44.4m2（13.43坪）,2LDK,4.61m2,1978年9月
/ms/chuko/tokyo/sc_taito/nc_78719097/,【今すぐ見たい　お任せください】　ユテライズ根岸,2026-01-05,5080万円,東京都台東区根岸４,東京メトロ日比谷線「入谷」徒歩6分,61.56m2（壁芯）,2LDK,24.08m2,1980年5月
/ms/chuko/tokyo/sc_taito/nc_79131723/,ビアン御徒町 406号室,2026-01-05,5499万円,東京都台東区台東３,東京メトロ日比谷線「仲御徒町」徒歩2分,42.64m2（12.89坪）（壁芯）,2LDK,4.62m2,1983年3月
/ms/chuko/tokyo/sc_taito/nc_79069506/,ビアン御徒町,2026-01-05,5499万円,東京都台東区台東３,東京メトロ日比谷線「仲御徒町」徒歩2分,42.64m2,2LDK,4.62m2,1983年3月
/ms/chuko/tokyo/sc_taito/nc_78349446/,サンハイツ三筋,2026-01-05,5700万円,東京都台東区三筋１,都営大江戸線「新御徒町」徒歩5分,58.46m2（壁芯）,2LDK+S（納戸）,2.75m2,1982年4月
/ms/chuko/tokyo/sc_taito/nc_78989131/,ソルフィエスタ浅草入谷,2026-01-05,5980万円,東京都台東区千束３,東京メトロ日比谷線「入谷」徒歩9分,40.1m2（壁芯）,1LDK,16.81m2,2020年6月
/ms/chuko/tokyo/sc_taito/nc_78830809/,【今すぐ見たい　お任せください】 上野永谷タウンプラ…,2026-01-05,6290万円,東京都台東区台東４,東京メトロ日比谷線「仲御徒町」徒歩4分,56.87m2（壁芯）,2LDK,-,1978年8月
/ms/chuko/tokyo/sc_taito/nc_78675817/,藤和シティコープ入谷,2026-01-05,6398万円,東京都台東区竜泉１,東京メトロ日比谷線「入谷」徒歩5分,58.47m2（壁芯）,3LDK,7.58m2,1996年3月
/ms/chuko/tokyo/sc_taito/nc_79080045/,フュージョナル浅草ＤＵＥ,2026-01-05,6480万円,東京都台東区浅草５-30-11,つくばエクスプレス「浅草」徒歩9分,55.08m2（16.66坪）,2LDK,-,2017年11月
/ms/chuko/tokyo/sc_taito/nc_75875041/,レクセルマンション上野入谷,2026-01-05,6580万円,東京都台東区竜泉１,東京メトロ日比谷線「入谷」徒歩7分,64.28m2,1LDK+S（納戸）,6.84m2,2006年8月
/ms/chuko/tokyo/sc_taito/nc_79059165/,ヴィルヌーブ入谷,2026-01-05,6780万円,東京都台東区下谷２,東京メトロ日比谷線「入谷」徒歩4分,61.51m2（壁芯）,2LDK,9.54m2,1998年1月
/ms/chuko/tokyo/sc_taito/nc_79057111/,ヴィルヌーブ入谷,2026-01-05,6780万円,東京都台東区下谷２,東京メトロ日比谷線「入谷」徒歩4分,61.51m2（壁芯）,2LDK,9.54m2,1998年1月
/ms/chuko/tokyo/sc_taito/nc_79070923/,ヴィルヌーブ入谷,2026-01-05,6780万円,東京都台東区下谷２,東京メトロ日比谷線「入谷」徒歩4分,61.51m2（壁芯）,2LDK,9.54m2,1998年1月
/ms/chuko/tokyo/sc_taito/nc_78925561/,エバーグリーンパレス浅草,2026-01-05,6980万円,東京都台東区浅草６,東武伊勢崎線「浅草」徒歩9分,60.12m2（18.18坪）（壁芯）,2LDK+S（納戸）,8.5m2,1997年2月
/ms/chuko/tokyo/sc_taito/nc_78530944/,ビクトリアハイム三ノ輪,2026-01-05,6980万円,東京都台東区竜泉２,東京メトロ日比谷線「三ノ輪」徒歩5分,60.19m2（壁芯）,2LDK+S（納戸）,10.02m2,1997年7月
/ms/chuko/tokyo/sc_taito/nc_78894257/,サンクレイドル浅草レジデンス,2026-01-05,7180万円,東京都台東区東浅草１,東武伊勢崎線「浅草」徒歩14分,60.47m2（18.29坪）（壁芯）,3LDK,12.51m2,2023年6月
/ms/chuko/tokyo/sc_taito/nc_79039412/,【シティコープ浅草橋Ⅲ】南西角住戸　陽当たり良好,2026-01-05,7180万円,東京都台東区浅草３,ＪＲ総武線「浅草橋」徒歩6分,52.5m2（15.88坪）,1LDK+S（納戸）,5.83m2,1993年3月
/ms/chuko/tokyo/sc_taito/nc_78104420/,セイガステージ浅草　THE　GRACE,2026-01-05,7290万円,東京都台東区今戸２-7-9,東武伊勢崎線「浅草」徒歩15分,60.96m2（18.44坪）（壁芯）,2LDK+S（納戸）,7.31m2,2021年6月
/ms/chuko/tokyo/sc_taito/nc_78571961/,アデニウム入谷ステーションファースト,2026-01-05,7380万円,東京都台東区下谷２,東京メトロ日比谷線「入谷」徒歩1分,55.42m2（壁芯）,2LDK,18.49m2,2010年6月
/ms/chuko/tokyo/sc_taito/nc_78942718/,ライオンズ東京根岸レジデンス,2026-01-05,7698万円,東京都台東区根岸５,東京メトロ日比谷線「三ノ輪」徒歩6分,60m2（壁芯）,2LDK,-,2007年1月
/ms/chuko/tokyo/sc_taito/nc_78762311/,アルカーデンタワー入谷,2026-01-05,7980万円,東京都台東区下谷２,東京メトロ日比谷線「入谷」徒歩1分,55.2m2（壁芯）,1LDK+S（納戸）,8.92m2,2002年8月
/ms/chuko/tokyo/sc_taito/nc_79111486/,マンションヴィップ柳橋,2026-01-05,7980万円,東京都台東区柳橋１-1-6,ＪＲ総武線「浅草橋」徒歩4分,71.33m2（21.57坪）（壁芯）,3LDK,20.62m2,1981年4月
/ms/chuko/tokyo/sc_taito/nc_78188429/,クレストフォルム浅草グランステージ,2026-01-05,7990万円,東京都台東区千束１-１６－１１,つくばエクスプレス「浅草」徒歩8分,70.09m2（壁芯）,3LDK,11.6m2,2003年8月
/ms/chuko/tokyo/sc_taito/nc_78898555/,ルジェンテ上野松が谷,2026-01-05,7990万円,東京都台東区松が谷２,つくばエクスプレス「浅草」徒歩6分,55.06m2（壁芯）,2LDK,6.88m2,2024年6月
/ms/chuko/tokyo/sc_taito/nc_78624962/,ヴェレーナ東京入谷３,2026-01-05,7990万円,東京都台東区竜泉３,東京メトロ日比谷線「三ノ輪」徒歩8分,66.71m2（壁芯）,3LDK,6.46m2,2014年8月
/ms/chuko/tokyo/sc_taito/nc_78641608/,【今すぐ見たい　お任せください】　ルジェンテ上野松が…,2026-01-05,7990万円,東京都台東区松が谷２,つくばエクスプレス「浅草」徒歩6分,55.06m2（壁芯）,2LDK,6.88m2,2024年6月
/ms/chuko/tokyo/sc_taito/nc_78659826/,クレストフォルム浅草グランステージ,2026-01-05,7999万円,東京都台東区千束１,東京メトロ日比谷線「入谷」徒歩10分,61.36m2,3LDK,13.2m2,2003年8月
/ms/chuko/tokyo/sc_taito/nc_79011138/,ミオカステーロ入谷,2026-01-05,8480万円,東京都台東区竜泉１,東京メトロ日比谷線「入谷」徒歩7分,61.75m2（壁芯）,2LDK+S（納戸）,11.52m2,2005年1月
/ms/chuko/tokyo/sc_taito/nc_78789269/,【本日、ご内覧いただけます】　ダイアパレス元浅草２,2026-01-05,8499万円,東京都台東区元浅草３,ＪＲ山手線「御徒町」徒歩15分,61.85m2（壁芯）,3LDK,6.42m2,1998年9月
/ms/chuko/tokyo/sc_taito/nc_78952881/,ルフォン入谷ザ・レジデンス,2026-01-05,8700万円,東京都台東区下谷３,東京メトロ日比谷線「入谷」徒歩5分,57.59m2（壁芯）,2LDK,10.44m2,2017年8月
/ms/chuko/tokyo/sc_taito/nc_78817361/,モリス御徒町,2026-01-05,8980万円,東京都台東区小島１,都営大江戸線「新御徒町」徒歩4分,57.96m2（壁芯）,2LDK,19.02m2,1996年7月
/ms/chuko/tokyo/sc_taito/nc_78874900/,【弊社限定取扱物件】クレヴィア上野松が谷◆内装リフォ…,2026-01-05,9280万円,東京都台東区松が谷２,東京メトロ銀座線「稲荷町」徒歩9分,73.16m2（壁芯）,3LDK,5.69m2,2011年8月
/ms/chuko/tokyo/sc_taito/nc_78715846/,モナーク根岸,2026-01-05,9599万円,東京都台東区根岸４,東京メトロ日比谷線「入谷」徒歩7分,84.1m2（25.44坪）（壁芯）,2LDK+S（納戸）,10.26m2,1998年4月
/ms/chuko/tokyo/sc_taito/nc_79132870/,ファミール浅草雷門,2026-01-05,9980万円,東京都台東区雷門１-12-8,東京メトロ銀座線「浅草」徒歩4分,63.29m2（壁芯）,3LDK,6.9m2,1999年10月
/ms/chuko/tokyo/sc_taito/nc_78944270/,ファミール浅草雷門,2026-01-05,9980万円,東京都台東区雷門１,東京メトロ銀座線「浅草」徒歩4分,63.29m2（19.14坪）（壁芯）,3LDK,6.9m2,1999年10月
/ms/chuko/tokyo/sc_taito/nc_79060910/,ミサワホームズ三ノ輪,2026-01-05,1億780万円,東京都台東区竜泉２,東京メトロ日比谷線「三ノ輪」徒歩2分,82.24m2（壁芯）,3LDK,5.2m2,1997年9月
/ms/chuko/tokyo/sc_taito/nc_78716971/,プレシス上野リュクス,2026-01-05,1億980万円,東京都台東区上野７,ＪＲ山手線「上野」徒歩2分,55.01m2（壁芯）,2LDK,11.52m2,2013年8月
/ms/chuko/tokyo/sc_taito/nc_78733414/,浅草タワー,2026-01-05,1億980万円,東京都台東区西浅草３,つくばエクスプレス「浅草」徒歩4分,50.58m2（壁芯）,1LDK,9.5m2,2012年2月
/ms/chuko/tokyo/sc_taito/nc_78109981/,クレストフォルム上野グランステージ,2026-01-05,1億1200万円,東京都台東区上野７,ＪＲ山手線「上野」徒歩5分,75.94m2（壁芯）,2LDK+S（納戸）,28.1m2,2001年11月
/ms/chuko/tokyo/sc_taito/nc_78932477/,パレステージ上野,2026-01-05,1億1280万円,東京都台東区上野７,ＪＲ山手線「上野」徒歩5分,55.83m2（壁芯）,2LDK,8.8m2,2017年2月
