link,物件名,date,販売価格,所在地,沿線・駅,専有面積,間取り,バルコニー,築年月
/ms/chuko/tokyo/sc_toshima/nc_79111969/,サンコート池袋,2026-01-05,2790万円,東京都豊島区池袋４-17-3,ＪＲ山手線「池袋」徒歩13分,31.49m2（9.52坪）,1DK,3.03m2,1984年2月
/ms/chuko/tokyo/sc_toshima/nc_78619646/,GSハイム巣鴨,2026-01-05,3280万円,東京都豊島区巣鴨３,ＪＲ山手線「巣鴨」徒歩6分,37.8m2,1DK,2.88m2,1982年6月
/ms/chuko/tokyo/sc_toshima/nc_78997748/,GSハイム巣鴨,2026-01-05,3480万円,東京都豊島区巣鴨３,ＪＲ山手線「巣鴨」徒歩4分,37.8m2（壁芯）,1LDK,2.88m2,1982年5月
/ms/chuko/tokyo/sc_toshima/nc_79111125/,池袋第２ヒルハイム,2026-01-05,3890万円,東京都豊島区池袋本町３-31-14,東武東上線「下板橋」徒歩4分,61.18m2（18.50坪）,3LDK,8.5m2,1974年12月
/ms/chuko/tokyo/sc_toshima/nc_78756504/,大塚コーポビアネーズ,2026-01-05,3999万円,東京都豊島区南大塚１,ＪＲ山手線「大塚」徒歩10分,41.25m2（壁芯）,2DK,4.9m2,1977年11月
/ms/chuko/tokyo/sc_toshima/nc_78939288/,エクレール巣鴨,2026-01-05,4550万円,東京都豊島区西巣鴨３,都電荒川線「新庚申塚」徒歩1分,47.87m2（14.48坪）（壁芯）,2DK,5.6m2,1984年8月
/ms/chuko/tokyo/sc_toshima/nc_79112183/,ロジュマンジャンティ椎名町,2026-01-05,4790万円,東京都豊島区南長崎１-18-17,西武池袋線「椎名町」徒歩2分,33.73m2（10.20坪）,1LDK,7.4m2,2010年2月
/ms/chuko/tokyo/sc_toshima/nc_79134093/,コスモ東長崎,2026-01-05,4980万円,東京都豊島区南長崎５-1-30,都営大江戸線「落合南長崎」徒歩4分,54.65m2（壁芯）,2LDK,3.59m2,1987年3月
/ms/chuko/tokyo/sc_toshima/nc_79109880/,ライオンズマンション六義園,2026-01-05,5180万円,東京都豊島区駒込１-3-3,ＪＲ山手線「駒込」徒歩4分,60.9m2,2LDK,-,1981年11月
/ms/chuko/tokyo/sc_toshima/nc_77756811/,ヴェルト池袋,2026-01-05,5380万円,東京都豊島区池袋３,東京メトロ副都心線「要町」徒歩4分,41.66m2（壁芯）,2DK,5.03m2,2002年11月
